modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Revise,get_def,true,true,0,1,Bool,Method,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/packagedef.jl,1036
Revise,newloc,true,true,0,0,Union{},"LineNumberNode,Nothing,LineNumberNode",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/utils.jl,60
Revise,parse_source!,true,true,0,1,"Union{Nothing, OrderedCollections.OrderedDict{Module,OrderedCollections.OrderedDict{Revise.RelocatableExpr,Union{Nothing, Array{Any,1}}}}}","OrderedCollections.OrderedDict{Module,OrderedCollections.OrderedDict{Revise.RelocatableExpr,Union{Nothing, Array{Any,1}}}},String,String,Module",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/parsing.jl,38
Revise,queue_includes!,true,false,8,1,Revise.PkgData,"Revise.PkgData,Base.PkgId",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/pkgs.jl,45
Revise,add_modexs!,true,true,4,1,Revise.FileInfo,"Revise.FileInfo,Array{Tuple{Module,Expr},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/pkgs.jl,132
Revise,get_def,true,false,0,1,"Union{Missing, Nothing, Array{Tuple{LineNumberNode,Expr},1}}","Method,Revise.PkgData,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/packagedef.jl,1089
Revise,add_require,true,true,1,1,Nothing,"String,Module,String,String,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/pkgs.jl,184
Revise,parse_source!,true,false,0,1,"Union{Nothing, OrderedCollections.OrderedDict{Module,OrderedCollections.OrderedDict{Revise.RelocatableExpr,Union{Nothing, Array{Any,1}}}}}","OrderedCollections.OrderedDict{Module,OrderedCollections.OrderedDict{Revise.RelocatableExpr,Union{Nothing, Array{Any,1}}}},String,AbstractString,Module",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/parsing.jl,38
Revise,manifest_file,true,true,2,1,Nothing,Nothing,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/pkgs.jl,386
Revise,newloc,true,true,0,1,LineNumberNode,"LineNumberNode,LineNumberNode,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/utils.jl,60
Revise,#methods_by_execution!#20,false,false,41,4,"Tuple{Any,Union{Nothing, Expr}}","Symbol,Bool,Bool,Base.Iterators.Pairs{Symbol,Bool,Tuple{Symbol},NamedTuple{(:skip_include,),Tuple{Bool}}},typeof(Revise.methods_by_execution!),typeof(JuliaInterpreter.finish_and_return!),Revise.CodeTrackingMethodInfo,Dict{Module,Array{Expr,1}},Module,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,177
Revise,track,true,true,0,1,Nothing,"Module,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/packagedef.jl,862
Revise,get_tracked_id,true,true,0,1,"Union{Nothing, Base.PkgId}",Base.PkgId,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/packagedef.jl,1094
Revise,#entr#72,true,false,7,1,Nothing,"Bool,Bool,Float64,typeof(entr),var""#444#447""{Base.RefValue{Int64}},Array{Any,1},Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/callbacks.jl,154
Revise,assign_this!,true,true,0,1,Nothing,"Frame,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,17
Revise,trim_toplevel!,true,false,16,1,"Array{Union{Ptr{Nothing}, Base.InterpreterIP},1}","Array{Union{Ptr{Nothing}, Base.InterpreterIP},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/utils.jl,195
Revise,location_string,true,true,0,1,String,"Symbol,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/utils.jl,63
Revise,#methods_by_execution!#20,false,false,41,4,"Tuple{Any,Union{Nothing, Expr}}","Symbol,Bool,Bool,Base.Iterators.Pairs,typeof(Revise.methods_by_execution!),Function,Revise.CodeTrackingMethodInfo,Dict{Module,Array{Expr,1}},Module,Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,177
Revise,minimal_evaluation!,true,false,15,1,"Tuple{Array{Bool,1},Bool}","Any,IdDict{Type,LineNumberNode},Core.CodeInfo,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,80
Revise,actions,true,true,0,1,"Array{Revise.LogRecord,1}",Revise.ReviseLogger,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/logging.jl,114
Revise,add_includes!,true,false,0,1,"IdDict{Type,LineNumberNode}","IdDict{Type,LineNumberNode},Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,29
Revise,#add_callback#67,true,true,8,1,Symbol,"Bool,Symbol,typeof(Revise.add_callback),Revise.var""#73#74""{Float64,var""#421#429""{String}},Array{String,1},Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/callbacks.jl,49
Revise,get_tracked_id,true,true,0,1,"Union{Nothing, Base.PkgId}",Module,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/packagedef.jl,1108
Revise,remove_callback,true,true,3,1,Nothing,Symbol,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/callbacks.jl,94
Revise,add_dependencies!,true,true,0,1,"IdDict{Type,LineNumberNode}","IdDict{Type,LineNumberNode},CodeEdges,Core.CodeInfo,Array{Bool,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,28
Revise,minimal_evaluation!,true,true,0,1,"Tuple{Array{Bool,1},Bool}","IdDict{Type,LineNumberNode},Core.CodeInfo,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,118
Revise,read_from_cache,true,false,1,2,String,"Revise.PkgData,AbstractString",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/pkgs.jl,99
Revise,#printf_maxsize#8,true,true,16,2,Nothing,"Int64,Int64,typeof(Revise.printf_maxsize),typeof(println),Base.GenericIOBuffer{Array{UInt8,1}},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/utils.jl,154
Revise,#maybe_add_includes_to_pkgdata!#37,true,false,11,1,Nothing,"Bool,typeof(Revise.maybe_add_includes_to_pkgdata!),Revise.PkgData,String,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/pkgs.jl,152
Revise,includet,true,false,0,1,Nothing,AbstractString,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/packagedef.jl,1004
Revise,#_fixpath#49,true,true,1,1,LineNumberNode,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(Revise._fixpath),LineNumberNode",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/recipes.jl,131
Revise,git_source,true,false,2,1,String,"String,LibGit2.GitTree",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/git.jl,74
Revise,minimal_evaluation!,true,true,0,1,"Tuple{Array{Bool,1},Bool}","IdDict{Type,LineNumberNode},Frame,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Revise/depot/packages/Revise/mvD4N/src/lowered.jl,118
