modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
OrderedCollections,length,3,1.0,0.0,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/OrderedCollections/PRayh/src/ordered_dict.jl,82
IncrementalInference,#SolverParams#1,1,1.0,0.0,1,0,0,784,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/FactorGraphTypes.jl,102
RoME,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/RoME/Prob0/src/RoME.jl,1
Pkg.GitTools,print,1,1.0,1.0,1,0,0,56,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/GitTools.jl,201
LinearAlgebra,generic_norm2,14,0.9285714285714286,0.9285714285714286,8,0,0,1113,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,476
KernelDensityEstimate,Ndim,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/KernelDensityEstimate/Xshli/src/BallTree01.jl,32
ForwardDiff,convert,13,0.6153846153846154,0.6153846153846154,13,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/ForwardDiff/QOqCN/src/partials.jl,75
LinearAlgebra,exp,1,1.0,1.0,1,0,0,152,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/symmetric.jl,918
LinearAlgebra,pinv,1,1.0,1.0,1,0,0,151,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/dense.jl,1334
LinearAlgebra,getindex,1,1.0,1.0,1,0,0,121,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/triangular.jl,226
IncrementalInference,getClique,1,0.0,0.0,1,0,0,105,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/JunctionTree.jl,93
IncrementalInference,getVariableInferredDim,7,0.0,0.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/InferDimensionUtils.jl,50
IncrementalInference,printCliqInitPartialInfo,1,1.0,1.0,1,0,0,526,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/TreeBasedInitialization.jl,149
IncrementalInference,factorCanInitFromOtherVars,2,1.0,0.0,1,0,0,1697,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/FactorGraph.jl,722
LinearAlgebra,#isapprox#18,3,1.0,1.0,1,0,0,280,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/generic.jl,1631
RoME,getDimension,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/DistributedFactorGraphs/z0TIi/src/services/DFGVariable.jl,84
IncrementalInference,getWorkerPool,1,0.0,0.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/SolveTree.jl,17
Pkg.Types,show,1,1.0,1.0,1,0,0,56,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/versions.jl,273
IncrementalInference,getCliqVarIdsAll,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/JunctionTree.jl,1143
ForwardDiff,*,8,1.0,1.0,8,0,0,112,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/ForwardDiff/QOqCN/src/dual.jl,426
IncrementalInference,convert,4,0.75,0.25,4,0,0,535,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/SerializingDistributions.jl,84
DistributedFactorGraphs,setSolvedCount!,7,1.0,0.8571428571428571,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/DistributedFactorGraphs/z0TIi/src/services/DFGVariable.jl,115
LinearAlgebra,lmul!,1,1.0,1.0,1,0,0,86,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/triangular.jl,747
IncrementalInference,addEntropyOnManifoldHack!,32,1.0,0.40625,1,0,0,474,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/ApproxConv.jl,229
IncrementalInference,#approxConv#235,1,1.0,0.0,1,0,0,1865,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/ApproxConv.jl,590
KernelDensityEstimate,kde!,1,1.0,0.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/KernelDensityEstimate/Xshli/src/KDE01.jl,3
KernelDensityEstimate,weight,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/KernelDensityEstimate/Xshli/src/BallTree01.jl,45
ManifoldsBase,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/ManifoldsBase/DmEFA/src/ManifoldsBase.jl,1
KernelDensityEstimate,evaluateDualTree,1,1.0,0.0,1,0,0,717,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/KernelDensityEstimate/Xshli/src/DualTree01.jl,370
LinearAlgebra,lmul!,1,0.0,0.0,1,0,0,614,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/givens.jl,339
IncrementalInference,tryDownInit_StateMachine,1,1.0,1.0,1,0,0,731,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/IncrementalInference/l19Lz/src/CliqueStateMachine.jl,588
ApproxManifoldProducts,__init__,1,0.0,0.0,1,0,0,149,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/RoME/depot/packages/ApproxManifoldProducts/j9BNn/src/ApproxManifoldProducts.jl,78
LinearAlgebra,_apply_ipiv_rows!,14,1.0,1.0,8,0,0,78,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/lu.jl,339
