modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Roots,_fbracket,false,false,3,2,"Tuple{Any,Any}","Any,Any,Float32,Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/utils.jl,86
Roots,find_zero,true,false,0,1,Float64,"Function,Int64,Roots.Order1B,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,641
Roots,_callable_function,true,true,1,1,"Roots.DerivativeFree{Roots.DerivativeFree{var""#20#31""}}","Roots.DerivativeFree{var""#20#31""}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,303
Roots,find_zero,true,false,4,1,BigFloat,"Order2,Roots.DerivativeFree{_A} where _A,Roots.UnivariateZeroState{BigFloat,_A} where _A,Roots.UnivariateZeroOptions{BigFloat,BigFloat,_A,_B} where _B where _A,Roots.NullTracks",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,708
Roots,#find_zero#2,true,false,9,1,Float64,"Roots.NullTracks,Bool,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(find_zero),Function,Float64,Roots.Thukral16,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,641
Roots,log_step,true,true,0,1,Nothing,"Nothing,Roots.Thukral16,Roots.UnivariateZeroState{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,217
Roots,init_state,true,true,0,1,"Roots.UnivariateZeroState{Float64,Float64}","Roots.Secant,Roots.DerivativeFree{var""#16#23""},Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/derivative_free.jl,62
Roots,make_intervals!,true,false,7,1,Nothing,"Array{Roots.Interval{BigFloat},1},Function,BigFloat,BigFloat,Array{BigFloat,1},Int64,BigFloat,BigFloat,Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zeros.jl,96
Roots,update_state,true,true,6,4,Nothing,"Roots.AlefeldPotraShi,Roots.DerivativeFree{Roots.DerivativeFree{var""#267#284""}},Roots.UnivariateZeroState{BigFloat,BigFloat},Roots.UnivariateZeroOptions{BigFloat,BigFloat,BigFloat,BigFloat}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/bracketing.jl,715
Roots,show_tracks,true,false,21,1,Nothing,"Roots.Tracks{Float64,_A} where _A,Roots.Order2B",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,232
Roots,find_zero,true,false,0,1,BigFloat,"Function,BigInt,Roots.Order1B,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,641
Roots,_init_state,true,true,0,1,"Roots.UnivariateZeroState{Float64,Float64}","FalsePosition{9},Roots.DerivativeFree{var""#feval#98""{Bool,Func,Int64,Tuple{}}},Tuple{Float64,Float64},Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/bracketing.jl,91
Roots,find_zero,true,true,0,1,BigFloat,"Tuple{var""#267#284"",var""#247#248""{var""#267#284"",Float64}},BigFloat,Roots.Newton",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,641
Roots,log_step,true,true,0,1,Nothing,"Roots.NullTracks,Order5,Roots.UnivariateZeroState{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,216
Roots,find_zero,true,true,0,1,Float64,"Roots.FnWrapper,Float64,Roots.Order2B,Nothing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,641
Roots,find_zero,false,false,4,1,"Union{Float16, Float64}","Roots.Order2B,Roots.DerivativeFree{_A} where _A,Roots.UnivariateZeroState{Float16,_A} where _A,Roots.UnivariateZeroOptions{Float16,Float16,_A,_B} where _B where _A,Roots.Tracks{Float16,_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,708
Roots,init_state,false,false,3,1,"Roots.UnivariateZeroState{_A,_B} where _B where _A","FalsePosition{1},Roots.DerivativeFree{var""#feval#98""{Bool,Func,Int64,Tuple{Float64,Float64}}},Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/bracketing.jl,78
Roots,#bisection#34,true,true,10,1,Float64,"Nothing,Nothing,typeof(Roots.bisection),var""#298#320"",Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/simple.jl,42
Roots,_init_state,true,true,0,1,"Roots.UnivariateZeroState{Float64,Float64}","Roots.BisectionExact,Roots.DerivativeFree{Roots.DerivativeFree{var""#feval#98""{Bool,Func,Int64,Float64}}},Tuple{Float64,Float64},Tuple{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/bracketing.jl,91
Roots,find_zero,true,false,4,1,Float64,"Roots.Schroder,Roots.SecondDerivative{_A,_B,_C} where _C where _B where _A,Roots.UnivariateZeroState{Float64,_A} where _A,Roots.UnivariateZeroOptions{Float64,Float64,_A,_B} where _B where _A,Roots.Tracks{Float64,_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,708
Roots,log_step,true,true,0,1,Nothing,"Roots.NullTracks,FalsePosition{:anderson_bjork},Roots.UnivariateZeroState{Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,216
Roots,update_state,true,true,2,3,Nothing,"Order5,Roots.DerivativeFree{Roots.FnWrapper},Roots.UnivariateZeroState{Float64,Float64},Roots.UnivariateZeroOptions{Float64,Float64,Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/derivative_free.jl,416
Roots,find_zero,true,true,0,1,Float64,"Roots.FnWrapper,Float64,Order8",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Roots/depot/packages/Roots/kk34X/src/find_zero.jl,641
