modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
MathOptInterface.Utilities,replace_constraint_function_or_set,96,1.0,0.0,2,0,0,458,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,480
MathOptInterface.Utilities,supports,2,0.0,0.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/mockoptimizer.jl,171
MathOptInterface.Utilities,canonicalize!,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,714
MathOptInterface.Utilities,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/Utilities.jl,1
MathOptInterface.Utilities,_deleted_constraints,44,0.8409090909090909,0.2727272727272727,2,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,8
SCIP,SCIPprintConcsolverStatistics,1,1.0,1.0,1,0,0,149,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/wrapper/scip_solvingstats.jl,461
SCIP,delete,1,1.0,1.0,1,0,0,210,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/managed_scip.jl,179
SCIP,SCIPdelCons,1,1.0,1.0,1,0,0,148,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/wrapper/scip_prob.jl,229
MathOptInterface.Utilities,load_constraint,5,1.0,0.0,1,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,793
MathOptInterface.Utilities,extract_upper_bound,2,0.5,0.5,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,458
MathOptInterface.Utilities,_reverse_dict,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,208
SCIP,register!,1,1.0,1.0,1,0,0,138,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/MOI_wrapper.jl,84
MathOptInterface.Utilities,xor_index,1,1.0,1.0,1,0,0,66,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/mockoptimizer.jl,60
MathOptInterface.Utilities,single_variable_flag,1,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,384
MathOptInterface,get,112,0.8660714285714286,0.8660714285714286,25,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,288
MathOptInterface.Utilities,attach_optimizer,1,1.0,0.0,1,0,0,302,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,181
SCIP,_conslock,1,1.0,0.0,1,0,0,154,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/conshdlr.jl,246
Main.NoGoodCounter,enforce_lp_sol,1,1.0,1.0,1,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/test/conshdlr_support.jl,223
MathOptInterface,is_copyable,4,1.0,0.5,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,1637
MathOptInterface.Utilities,constraints,2,1.0,1.0,2,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,269
SCIP,enum_values,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/CEnum.jl,119
MathOptInterface.Utilities,filter_variables,11,0.45454545454545453,0.45454545454545453,5,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/functions.jl,1004
MathOptInterface,add_constrained_variables,7,0.14285714285714285,0.14285714285714285,4,0,0,125,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/variables.jl,199
SCIP,SCIPconsGetData,1,1.0,1.0,1,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/wrapper/pub_cons.jl,313
SCIP,SCIPprintLPStatistics,1,1.0,1.0,1,0,0,149,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/wrapper/scip_solvingstats.jl,437
MathOptInterface.Utilities,add_constraint,50,0.96,0.0,49,0,0,582,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,412
SCIP,SCIPcreateConsBasicAbspower,1,1.0,1.0,1,0,0,427,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/wrapper/cons_abspower.jl,13
MathOptInterface.Utilities,get,1,1.0,0.0,1,0,0,355,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,383
SCIP,print_branching_statistics,1,1.0,1.0,1,0,0,131,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/managed_scip.jl,352
MathOptInterface.Utilities,get,1,1.0,1.0,1,0,0,149,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,239
MathOptInterface.Utilities,_precompile_,1,1.0,1.0,1,0,0,799,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/precompile.jl,1
MathOptInterface.Utilities,_deleted_constraints,197,1.0,0.49238578680203043,1,0,0,151,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/vector_of_constraints.jl,236
MathOptInterface,get,111,0.963963963963964,0.963963963963964,4,0,1,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,292
MathOptInterface,delete,1,1.0,0.0,1,0,0,168,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/indextypes.jl,130
SCIP,add_special_ordered_set_type1,1,1.0,1.0,1,0,0,418,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/SCIP/sQloY/src/managed_scip.jl,264
MathOptInterface.Utilities,supports,1,0.0,0.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/mockoptimizer.jl,157
MathOptInterface,coefficient,2,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/functions.jl,327
MutableArithmetics,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MutableArithmetics/8xkW3/src/MutableArithmetics.jl,7
MathOptInterface.Utilities,single_variable_flag,1,1.0,1.0,1,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,380
MathOptInterface.Utilities,is_empty,6,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SCIP/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,114
