modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
SaferIntegers,baseint,true,true,0,1,Int8,Int8,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,19
SaferIntegers,baseint,true,true,0,1,Int32,SafeInt32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,17
SaferIntegers,bitsof,true,true,0,1,SafeInt64,Type{SafeInt16},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/int_ops.jl,9
SaferIntegers,safeint,true,true,0,1,SafeUInt8,SafeUInt8,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,18
SaferIntegers,bitsof,true,true,0,1,SafeInt64,Type{SafeInt64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/int_ops.jl,9
SaferIntegers,baseint,true,true,0,1,Type{UInt8},Type{UInt8},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,13
SaferIntegers,checked_mod1,true,true,0,1,Int16,"Int16,Int16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/arith_ops.jl,1
SaferIntegers,safeint,true,true,0,1,SafeUInt32,SafeUInt32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,18
SaferIntegers,ipower,true,true,7,3,SafeInt32,"SafeInt32,SafeInt32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/pow.jl,56
SaferIntegers,baseint,true,true,0,1,Int16,Int16,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,19
SaferIntegers,checked_mod1,true,true,0,1,UInt32,"UInt32,UInt32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/arith_ops.jl,1
SaferIntegers,baseint,true,true,0,1,Bool,Bool,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,4
SaferIntegers,safeint,true,true,0,1,Type{SafeUInt8},Type{UInt8},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,11
SaferIntegers,baseint,true,true,0,1,Int8,SafeInt8,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,17
SaferIntegers,baseint,true,true,0,1,UInt16,SafeUInt16,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,17
SaferIntegers,safeint,true,true,0,1,Type{SafeUInt32},Type{UInt32},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,11
SaferIntegers,safeint,true,true,0,1,SafeUInt64,UInt64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,16
SaferIntegers,safeint,true,true,0,1,SafeInt16,SafeInt16,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,18
SaferIntegers,baseint,true,true,0,1,UInt128,SafeUInt128,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,17
SaferIntegers,baseint,true,true,0,1,UInt64,SafeUInt64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,17
SaferIntegers,baseint,true,true,0,1,Int64,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,19
SaferIntegers,maxabs2,true,true,0,1,UInt64,Type{SafeUInt64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/int_ops.jl,91
SaferIntegers,safeint,true,true,0,1,SafeInt32,Int32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,16
SaferIntegers,safeint,true,true,0,1,SafeUInt16,SafeUInt16,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,18
SaferIntegers,baseint,true,true,0,1,Type{Bool},Type{Bool},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,2
SaferIntegers,baseint,true,true,0,1,Type{UInt64},Type{SafeUInt64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SaferIntegers/depot/packages/SaferIntegers/lLDKG/src/construct.jl,14
