modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
ShiftedArrays,#ShiftedVector#8,3,1.0,1.0,2,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,72
ShiftedArrays,_padded_tuple,1,0.0,0.0,1,0,0,104,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,3
ShiftedArrays,default,4,1.0,1.0,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,104
ShiftedArrays,offset,2,1.0,1.0,2,0,1,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,77
ShiftedArrays,_padded_tuple,2,1.0,1.0,2,0,1,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,1
ShiftedArrays,#lead#14,2,1.0,1.0,2,0,0,107,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/lag.jl,99
ShiftedArrays,lag,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/lag.jl,49
ShiftedArrays,bringwithin,1,1.0,1.0,1,0,0,43,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/circshiftedarray.jl,63
ShiftedArrays,circshift,3,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/circshift.jl,30
ShiftedArrays,lag,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/lag.jl,49
ShiftedArrays,#lag#13,2,1.0,1.0,2,0,0,99,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/lag.jl,49
ShiftedArrays,shifts,4,1.0,1.0,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,97
ShiftedArrays,_padded_tuple,2,0.5,0.5,2,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,2
ShiftedArrays,bringwithin,2,1.0,1.0,2,0,0,138,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/circshiftedarray.jl,60
ShiftedArrays,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/ShiftedArrays.jl,1
ShiftedArrays,lead,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/lag.jl,99
ShiftedArrays,shifts,2,1.0,1.0,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/circshiftedarray.jl,95
ShiftedArrays,#ShiftedArray#3,7,1.0,1.0,4,0,0,108,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/shiftedarray.jl,62
ShiftedArrays,lead,1,1.0,1.0,1,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/lag.jl,99
ShiftedArrays,bringwithin,1,1.0,1.0,1,0,0,273,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ShiftedArrays/depot/packages/ShiftedArrays/5QaZV/src/circshiftedarray.jl,48
