modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
SimpleTraits,strip_kw,2,1.0,1.0,2,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,415
SimpleTraits.BaseTraits,trait,3,1.0,1.0,3,0,0,98,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,170
SimpleTraits.BaseTraits,trait,2,1.0,1.0,2,0,0,94,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,170
SimpleTraits,@traitfn,1,1.0,0.0,1,4,0,65,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,381
SimpleTraits.BaseTraits,trait,3,0.6666666666666666,0.6666666666666666,3,0,0,111,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,170
Main,trait,2,1.0,1.0,2,0,0,102,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,170
SimpleTraits,traitfn,1,0.0,0.0,1,0,0,6909,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,188
SimpleTraits,@check_fast_traitdispatch,2,1.0,0.0,1,4,0,1593,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,501
SimpleTraits,istrait,32,1.0,1.0,1,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,82
Main,trait,1,1.0,1.0,1,0,0,47,none,0
SimpleTraits,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,1
Main.Mod,trait,1,1.0,1.0,1,0,0,47,none,0
SimpleTraits.BaseTraits,_isbits,1,0.0,0.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/base-traits.jl,18
SimpleTraits,@traitdef,1,1.0,0.0,1,4,0,105,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,103
SimpleTraits,llvm_lines,1,1.0,0.0,1,0,0,146,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,526
SimpleTraits,strip_tpara,1,1.0,0.0,1,0,0,372,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SimpleTraits/depot/packages/SimpleTraits/1wYi7/src/SimpleTraits.jl,395
