modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
SpecialFunctions,promotereal,true,true,0,1,"Tuple{BigFloat,BigFloat}","BigFloat,BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1039
SpecialFunctions,besselh,true,true,0,0,Union{},"Int64,BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,597
SpecialFunctions,eta,true,true,0,1,Missing,Missing,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/SpecialFunctions.jl,82
SpecialFunctions,En_safeexpmult,true,true,3,2,Complex{Float64},"Complex{Float64},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,387
SpecialFunctions,zeta,true,true,52,9,Complex{Float64},"Complex{Float64},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,225
SpecialFunctions,airybiprimex,true,true,0,1,Complex{Float64},Complex{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,165
SpecialFunctions,gamma,true,true,0,1,Float64,"Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1059
SpecialFunctions,En_cf_nogamma,true,true,9,2,"Tuple{Float64,Int64}","Float64,Float64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,163
SpecialFunctions,eta,true,true,1,2,Complex{Float64},Complex{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,475
SpecialFunctions,airyai,true,true,0,1,Complex{Float64},Complex{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,165
SpecialFunctions,gamma,true,true,0,1,Complex{Float64},Complex{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,766
SpecialFunctions,gamma,true,true,0,1,BigFloat,"Int64,BigInt",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1060
SpecialFunctions,besselix,true,true,0,1,Float64,"Float64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,583
SpecialFunctions,beta_inc_inv,true,true,0,1,"Tuple{Float64,Float64}","Float64,Float64,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/beta_inc.jl,987
SpecialFunctions,beta,true,true,16,4,Float32,"Float32,Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,775
SpecialFunctions,gamma,true,true,0,1,Float64,Rational{Int64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,618
SpecialFunctions,expint,true,true,0,1,Complex{Float64},"Complex{Int64},Float64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,513
SpecialFunctions,besselj,true,true,0,0,Union{},"BigFloat,Complex{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,584
SpecialFunctions,besselix,true,true,3,1,Float64,"Int64,Float32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,466
SpecialFunctions,besselh,true,true,0,0,Union{},"Int64,Int64,Complex{BigFloat}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,600
SpecialFunctions,erf,true,true,0,1,Float64,Float64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/erf.jl,8
SpecialFunctions,_besseli,true,true,3,1,Complex{Float64},"Float64,Complex{Float64},Int32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,227
SpecialFunctions,expintx,true,true,0,1,Float64,"Int64,Float64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,525
SpecialFunctions,_gamma,true,true,0,1,BigFloat,"Int64,BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1085
SpecialFunctions,_gamma_big,true,true,3,2,BigFloat,"BigInt,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1089
SpecialFunctions,trigamma,true,true,5,2,Complex{Float64},Complex{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,60
SpecialFunctions,zeta,true,true,0,1,BigFloat,BigFloat,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,464
SpecialFunctions,En_expand_origin_general,true,true,12,1,BigFloat,"BigInt,BigFloat,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,284
SpecialFunctions,_jinc_core,true,true,0,1,BigFloat,BigFloat,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,790
SpecialFunctions,loggamma,true,true,1,1,BigFloat,Real,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,669
SpecialFunctions,_gamma,true,true,0,1,BigFloat,"BigFloat,BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1088
SpecialFunctions,En_cf,true,true,6,2,"Tuple{Complex{Float64},Complex{Float64},Int64,Bool}","Complex{Int64},Complex{Float64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,244
SpecialFunctions,beta,true,true,0,1,BigFloat,"Number,Real",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,802
SpecialFunctions,polygamma,true,true,1,1,Float64,"Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,562
SpecialFunctions,besseljx,true,true,3,0,Union{},"Int64,BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,502
SpecialFunctions,besseljx,true,true,2,3,Complex{Float64},"Float64,Complex{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,396
SpecialFunctions,ellipk,true,true,0,1,Float64,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/ellip.jl,353
SpecialFunctions,erfcinv,true,true,3,3,Float32,Float32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/erf.jl,396
SpecialFunctions,hankelh1,true,true,0,1,Complex{Float64},"Float64,Complex{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,727
SpecialFunctions,besselk,true,true,0,0,Union{},"Int64,Complex{BigFloat}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,584
SpecialFunctions,gamma,false,false,0,1,Any,"Integer,Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1060
SpecialFunctions,_gamma_big,true,true,4,2,BigFloat,"BigFloat,BigFloat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1089
SpecialFunctions,gamma_inc,true,true,0,1,"Tuple{Float16,Float16}","Float16,Float16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,842
SpecialFunctions,gamma,true,true,0,1,Complex{Float64},"Float64,Complex{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1059
SpecialFunctions,airyaiprimex,true,true,1,1,Float64,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,171
SpecialFunctions,erfinv,true,true,8,2,BigFloat,BigFloat,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/erf.jl,418
SpecialFunctions,digamma,true,true,6,1,Float64,Float64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,20
SpecialFunctions,expintx,true,true,0,1,Complex{Float64},"Int64,Complex{Int64},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,525
SpecialFunctions,_gamma,true,true,3,2,Complex{Float64},"Complex{Float64},Complex{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma_inc.jl,1062
SpecialFunctions,expint,true,true,0,1,Complex{Float64},"Float64,Complex{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,513
SpecialFunctions,besselj1,true,true,0,1,Float32,Float32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,199
SpecialFunctions,cosint,true,true,6,6,Float64,Float64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/sincosint.jl,103
SpecialFunctions,log1mexp,true,true,1,2,Float64,Float64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/erf.jl,582
SpecialFunctions,En_safe_gamma_term,true,true,1,1,Complex{Float64},"Complex{Int64},Complex{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/expint.jl,199
SpecialFunctions,airybiprime,true,true,0,1,Complex{Float16},Complex{Float16},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/bessel.jl,166
SpecialFunctions,zeta,true,true,2,1,Float64,"Int64,Float16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SpecialFunctions/depot/packages/SpecialFunctions/mFAQ4/src/gamma.jl,546
