modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
StaticLint,get_arg_type_at_position,true,true,14,2,Nothing,"CSTParser.EXPR,Int64,Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/type_inf.jl,140
StaticLint,iterate_over_ss_methods,true,false,29,3,Bool,"SymbolServer.DataTypeStore,StaticLint.Scope,StaticLint.FileServer,StaticLint.var""#7#8""{Tuple{Int64,Int64,Array{Symbol,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/utils.jl,236
StaticLint,is_nospecialize_call,true,true,2,3,Bool,CSTParser.EXPR,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/linting/checks.jl,495
StaticLint,get_arg_type_at_position,true,true,5,2,"Union{Nothing, Array{Any,1}}","Any,Int64,Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/type_inf.jl,140
StaticLint,addmoduletoscope!,true,true,0,1,SymbolServer.ModuleStore,"StaticLint.Scope,SymbolServer.ModuleStore",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/scope.jl,45
StaticLint,addmoduletoscope!,true,true,1,1,SymbolServer.ModuleStore,"StaticLint.Scope,SymbolServer.ModuleStore,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/scope.jl,39
StaticLint,is_nospecialize,true,true,1,2,Bool,CSTParser.EXPR,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/macros.jl,110
StaticLint,check_use_of_literal,true,true,24,7,"Union{Nothing, StaticLint.LintCodes}",CSTParser.EXPR,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/linting/checks.jl,809
StaticLint,check_call,true,false,30,8,"Union{Nothing, Bool, StaticLint.LintCodes}","CSTParser.EXPR,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/linting/checks.jl,269
StaticLint,get_arg_type_at_position,true,false,5,2,"Union{Nothing, Array{Any,1}}","SymbolServer.MethodStore,Any,Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/type_inf.jl,159
StaticLint,retrieve_scope,true,true,1,0,Union{},Nothing,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/utils.jl,109
StaticLint,interpret_eval,true,false,23,1,Nothing,"CSTParser.EXPR,StaticLint.Toplevel{StaticLint.File}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticLint/depot/packages/StaticLint/mS3av/src/macros.jl,187
