modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
StaticNumbers,heads,true,true,0,1,"Tuple{Int64,Int64}","NTuple{16,Int64},NTuple{16,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,94
StaticNumbers,static,true,true,0,1,StaticInteger{17},StaticInteger{17},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,74
StaticNumbers,map,true,true,0,1,"NTuple{20,Int64}","typeof(+),NTuple{20,Int64},NTuple{20,Int64},NTuple{20,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,97
StaticNumbers,map,true,true,0,1,"Tuple{Float64,Float64}","typeof(sin),Tuple{Int64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticNumbers,map,true,true,0,1,"NTuple{25,Int64}","typeof(+),NTuple{25,Int64},NTuple{25,Int64},NTuple{25,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,97
StaticArrays,_mapreduce,false,false,3,4,Any,"typeof(identity),typeof(max),Int64,StaticArrays._InitialValue,Size{(4, 4)},SArray{Tuple{4,4},Float32,2,16}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticArrays/qd9eq/src/mapreduce.jl,144
StaticArrays,tuple_minimum,false,false,1,2,Any,"Type{Tuple{2,2}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticArrays/qd9eq/src/util.jl,35
StaticNumbers,map,true,true,0,1,"Tuple{NTuple{11,Int64}}","typeof(Base.tail),Tuple{NTuple{12,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticNumbers,#maybe_static#20,true,true,5,1,StaticInteger{4},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(maybe_static),typeof(+),StaticInteger{2},StaticInteger{2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/stat_macro.jl,13
StaticNumbers,map,true,true,0,1,"Tuple{Bool,Bool}","StaticNumbers.var""#21#23"",Tuple{StaticInteger{1},StaticInteger{1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticNumbers,__init__,false,false,2,2,Any,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,10
StaticNumbers,map,true,true,0,1,"NTuple{14,Int64}","typeof(+),NTuple{14,Int64},NTuple{14,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,97
StaticNumbers,map,true,true,0,1,"Tuple{NTuple{14,Int64}}","typeof(Base.tail),Tuple{NTuple{15,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticNumbers,#maybe_static#20,true,true,5,1,UInt64,"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(maybe_static),Type{UInt64},StaticInteger{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/stat_macro.jl,13
StaticNumbers,map,true,true,0,1,"Tuple{Int64,Int64}","typeof(first),Tuple{NTuple{18,Int64},NTuple{18,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticNumbers,map,true,true,0,1,"Tuple{NTuple{32,Int64},NTuple{32,Int64},NTuple{32,Int64}}","typeof(Base.tail),Tuple{NTuple{33,Int64},NTuple{33,Int64},NTuple{33,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticNumbers,static,false,false,0,1,StaticInteger{_A} where _A,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,70
StaticNumbers,map,true,true,0,1,Tuple{Int64},"typeof(first),Tuple{NTuple{5,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticNumbers,map,true,true,0,1,"Tuple{NTuple{16,Int64},NTuple{16,Int64}}","typeof(Base.tail),Tuple{NTuple{17,Int64},NTuple{17,Int64}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/StaticNumbers.jl,91
StaticArrays,#minimum#320,false,false,0,1,Any,"Int64,typeof(minimum),SArray{Tuple{2,2},Int64,2,4}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticArrays/qd9eq/src/mapreduce.jl,277
StaticNumbers,tostaticexpr,true,true,3,2,Expr,"Int64,Int64,Int64,StaticNumbers.var""#37#38""{Expr,Expr},Expr",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StaticNumbers/depot/packages/StaticNumbers/1M5qL/src/trystatic.jl,98
