modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
StatsBase,direct_sample!,4,0.75,0.75,3,0,0,567,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/sampling.jl,12
StatsBase,radixsort_safe,3,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/counts.jl,336
StatsBase,zscore!,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/scalarstats.jl,489
StatsBase,percentile,4,1.0,1.0,2,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/scalarstats.jl,216
StatsBase,_indicatormat_sparse,1,1.0,1.0,1,0,0,90,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/misc.jl,177
StatsBase,histrange,4,1.0,1.0,1,0,0,508,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/hist.jl,27
Statistics,middle,4,0.75,0.75,2,0,0,65,/build/source/usr/share/julia/stdlib/v1.5/Statistics/src/Statistics.jl,746
StatsBase,pacf_yulewalker!,1,1.0,0.0,1,0,0,583,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/signalcorr.jl,570
StatsBase,quantile,17,1.0,1.0,1,0,0,72,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/weights.jl,725
StatsBase,#fit#145,2,1.0,1.0,2,0,1,175,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/hist.jl,283
StatsBase,_moment3,1,1.0,1.0,1,0,0,335,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/moments.jl,245
StatsBase,_moment3,4,1.0,1.0,1,0,0,395,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/moments.jl,255
StatsBase,_moment4,1,1.0,1.0,1,0,0,337,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/moments.jl,265
StatsBase,knuths_sample!,2,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/sampling.jl,88
StatsBase,counts,1,1.0,1.0,1,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/counts.jl,188
Statistics,mean,11,0.9090909090909091,0.9090909090909091,3,0,0,53,/build/source/usr/share/julia/stdlib/v1.5/Statistics/src/Statistics.jl,164
StatsBase,sqL2dist,1,1.0,1.0,1,0,0,383,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/deviation.jl,49
StatsBase,totalvar,2,1.0,1.0,1,0,0,96,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/scalarstats.jl,410
StatsBase,proportions,5,1.0,1.0,1,0,0,86,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/counts.jl,96
StatsBase,geomean,3,1.0,1.0,1,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/scalarstats.jl,16
StatsBase,eweights,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/weights.jl,258
StatsBase,moment,4,1.0,1.0,1,0,0,69,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/moments.jl,327
StatsBase,#sample!#168,4,0.75,0.75,3,0,0,781,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/sampling.jl,405
StatsBase,#crosscov#115,2,1.0,1.0,1,0,0,186,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/signalcorr.jl,369
StatsBase,#crosscor#122,3,1.0,1.0,1,0,0,174,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/signalcorr.jl,520
StatsBase,#sample#176,3,0.6666666666666666,0.6666666666666666,2,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/sampling.jl,874
StatsBase,addcounts!,1,1.0,1.0,1,0,0,1097,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsBase/depot/packages/StatsBase/aknjg/src/counts.jl,142
