modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
StatsModels,apply_schema,false,false,5,1,"FormulaTerm{_A,_B} where _B where _A","FormulaTerm{Term,Tuple{Term,Term}},StatsModels.Schema,Type{DummyMod}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/schema.jl,265
StatsModels,kron_insideout,false,false,1,2,Any,"StatsModels.var""#40#41"",Array{String,1},Array{String,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/terms.jl,512
StatsModels,apply_schema,false,false,0,1,InteractionTerm{_A} where _A,"InteractionTerm{Tuple{Term,Term,Term}},FullRank,Type{T} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/schema.jl,325
StatsModels,#ModelFrame#50,false,false,0,1,"ModelFrame{_A,_B} where _B where _A","DataType,Dict{Symbol,EffectsCoding},Type{ModelFrame},FormulaTerm{Term,Tuple{ConstantTerm{Int64},Term}},NamedTuple{(:x, :y, :z, :n),Tuple{Array{Symbol,1},Array{Symbol,1},Array{Symbol,1},Array{Float64,1}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/modelframe.jl,72
StatsModels,asgn,true,true,0,1,"Array{Int64,1}","Tuple{InterceptTerm{false},CategoricalTerm{EffectsCoding,Symbol,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/modelframe.jl,212
StatsModels,collect_matrix_terms,true,true,0,1,"MatrixTerm{Tuple{InterceptTerm{true},CategoricalTerm{HypothesisCoding{Array{Int64,2},Array{Float64,2}},Symbol,2}}}","MatrixTerm{Tuple{InterceptTerm{true},CategoricalTerm{HypothesisCoding{Array{Int64,2},Array{Float64,2}},Symbol,2}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/terms.jl,292
ShiftedArrays,lag,true,true,0,1,"ShiftedArrays.ShiftedArray{Union{Missing, Int64},Missing,1,ShiftedArrays.ShiftedArray{Int64,Missing,1,Array{Int64,1}}}","ShiftedArrays.ShiftedArray{Int64,Missing,1,Array{Int64,1}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/ShiftedArrays/5QaZV/src/lag.jl,49
StatsModels,modelcols,true,true,0,1,"Array{Float64,2}","MatrixTerm{Tuple{InterceptTerm{false},CategoricalTerm{DummyCoding,Int64,3}}},NamedTuple{(:y, :x1p),Tuple{Array{Int64,1},CategoricalArray{Int64,1,UInt32,Int64,CategoricalValue{Int64,UInt32},Union{}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/terms.jl,540
StatsModels,apply_schema,false,false,0,1,AbstractTerm,"Term,StatsModels.Schema,Type{DummyModTwo}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/schema.jl,219
StatsModels,termsyms,true,true,0,1,Set{Symbol},"InteractionTerm{Tuple{Term,Term}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/schema.jl,381
StatsModels,termvars,true,true,0,1,"Array{Symbol,1}","MatrixTerm{Tuple{CategoricalTerm{DummyCoding,Int64,3}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/schema.jl,396
StatsModels,is_matrix_term,true,true,0,1,Bool,"CategoricalTerm{DummyCoding,Symbol,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/terms.jl,309
StatsModels,apply_schema,false,false,2,1,InterceptTerm{_A} where _A,"ConstantTerm{Int64},StatsModels.Schema,Type{Nothing}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/schema.jl,233
StatsModels,modelmatrix,false,false,0,1,Any,"ModelFrame{NamedTuple{(:y, :x1p),Tuple{Array{Int64,1},CategoricalArray{Int64,1,UInt32,Int64,CategoricalValue{Int64,UInt32},Union{}}}},StatisticalModel}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/modelframe.jl,147
StatsModels,omitsintercept,true,true,0,1,Bool,"FormulaTerm{Tuple{Term,ConstantTerm{Int64}},Tuple{ConstantTerm{Int64},Term}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/terms.jl,576
StatsModels,#ModelFrame#51,false,false,0,1,"ModelFrame{_A,_B} where _B where _A","DataType,Dict{Symbol,EffectsCoding},Type{ModelFrame},FormulaTerm{Term,Tuple{Term,Term}},NamedTuple",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/modelframe.jl,82
StatsModels,apply_schema,false,false,0,1,Any,"Tuple{CategoricalTerm{DummyCoding,Char,1},CategoricalTerm{DummyCoding,Char,1}},StatsModels.Schema,Type{T} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsModels/depot/packages/StatsModels/JZLpf/src/schema.jl,217
