modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
ColorTypes,_convert,true,true,0,1,"RGBA{FixedPointNumbers.Normed{UInt16,16}}","Type{RGBA{FixedPointNumbers.Normed{UInt16,16}}},Type{RGB},Type{RGB},RGBA{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/conversions.jl,88
Plots,partialcircle,false,false,0,1,Any,"Any,Any,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/Plots/isZEW/src/components.jl,54
Plots,#plot#157,false,false,0,1,Plots.Plot,"Base.Iterators.Pairs{Symbol,Any,NTuple{5,Symbol},NamedTuple{(:layout, :t, :leg, :ticks, :border),Tuple{Plots.GridLayout,Array{Symbol,2},Bool,Nothing,Symbol}}},typeof(plot),Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/Plots/isZEW/src/plot.jl,80
ColorTypes,reinterpretc,true,true,0,1,"Base.ReshapedArray{FixedPointNumbers.Normed{UInt8,8},4,Base.ReinterpretArray{FixedPointNumbers.Normed{UInt8,8},3,AGray{FixedPointNumbers.Normed{UInt8,8}},Array{AGray{FixedPointNumbers.Normed{UInt8,8}},3}},Tuple{}}","Type{FixedPointNumbers.Normed{UInt8,8}},Array{AGray{FixedPointNumbers.Normed{UInt8,8}},3}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/operations.jl,86
ColorTypes,ccolor,true,false,13,1,"Type{RGBA{FixedPointNumbers.Normed{UInt8,8}}}","Type{RGBA{FixedPointNumbers.Normed{UInt8,8}}},Type{RGBA{FixedPointNumbers.Normed{UInt16,16}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/traits.jl,407
ColorTypes,base_color_type,true,true,0,1,Type{LCHab},LCHab{Float64},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/traits.jl,217
ColorTypes,cconvert,true,true,0,1,"RGBA{FixedPointNumbers.Normed{UInt16,16}}","Type{RGBA{FixedPointNumbers.Normed{UInt16,16}}},RGB{FixedPointNumbers.Normed{UInt8,8}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/conversions.jl,76
ColorTypes,cconvert,true,true,0,1,"Gray{FixedPointNumbers.Normed{UInt16,16}}","Type{Gray{FixedPointNumbers.Normed{UInt16,16}}},Gray{Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/conversions.jl,76
ColorTypes,color_type,true,true,0,1,Type{LCHuv},Type{LCHuv},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/traits.jl,168
ColorTypes,showcoloranttype,true,true,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Type{Bool}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StatsPlots/depot/packages/ColorTypes/6m8P7/src/show.jl,67
