modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Strategems,calculate,2,0.0,0.0,1,0,0,192,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/indicator.jl,14
Strategems,#gather!#1,2,1.0,0.5,1,0,0,721,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/universe.jl,35
Strategems,backtest!,1,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/backtest.jl,63
Strategems,#generate_trades#13,1,1.0,0.0,1,0,0,884,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/backtest.jl,3
Strategems,generate_dict,1,1.0,1.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/paramset.jl,29
Strategems,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/Strategems.jl,3
Strategems,backtest,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/backtest.jl,25
Strategems,#generate_dict#4,2,1.0,0.5,1,0,0,316,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/paramset.jl,29
Strategems,#generate_trades!#14,1,1.0,1.0,1,0,0,177,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/backtest.jl,19
Strategems,#backtest#15,1,1.0,0.0,1,0,0,1956,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/backtest.jl,25
Strategems,↑,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/signal.jl,42
Strategems,#optimize#17,2,0.0,0.0,1,0,0,987,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/optimize.jl,8
Strategems,@rule,2,1.0,0.0,1,0,1,165,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/rule.jl,17
Strategems,#optimize!#18,2,1.0,0.0,1,0,0,202,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/optimize.jl,32
Strategems,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/Strategems.jl,3
Strategems,@signal,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/signal.jl,38
Strategems,generate_combinations,1,0.0,0.0,1,0,0,630,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/paramset.jl,44
Strategems,#backtest!#16,3,1.0,0.6666666666666666,1,0,0,181,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/compute/backtest.jl,63
Strategems,get_overall_index,1,1.0,0.0,1,0,0,292,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/universe.jl,52
Strategems,count_runs,1,1.0,0.0,1,0,0,311,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/paramset.jl,21
Strategems,↓,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/signal.jl,43
Strategems,cum_pnl,1,1.0,0.0,1,0,0,355,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Strategems/depot/packages/Strategems/WM60M/src/model/backtest.jl,17
