modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
StringDistances,#_symmetric_pairwise!#27,true,true,7,1,"Array{Union{Missing, Int64},2}","Bool,typeof(StringDistances._symmetric_pairwise!),Array{Union{Missing, Int64},2},DamerauLevenshtein{Nothing},Array{Union{Missing, String},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/pairwise.jl,86
StringDistances,calculate,true,true,0,1,Float64,"NMD,StringDistances.ThreeCounters{Int64,NMD}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/distances/qgram.jl,470
StringDistances,compare,true,true,0,1,Float64,"String,String,Partial{DamerauLevenshtein{Nothing}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/find.jl,15
StringDistances,_preprocess,false,false,2,2,"Array{_A,1} where _A","Array{String,1},Cosine,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/pairwise.jl,76
StringDistances,result_type,true,false,0,1,Type{Float64},"Jaccard,Type{T} where T,Type{T} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/StringDistances.jl,13
StringDistances,longest_common_pattern,true,true,12,1,"Tuple{Int64,Int64,Int64}","StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{String}}}}}}}}}}},StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{String}}}}}}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/distances/edit.jl,269
StringDistances,result_type,true,true,0,1,Type{Float64},"Overlap,Type{String},Type{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/StringDistances.jl,13
StringDistances,_take,true,true,0,1,"Base.Iterators.Take{SubArray{SubString{String},1,Array{SubString{String},1},Tuple{UnitRange{Int64}},true}}","Base.Iterators.Take{SubArray{SubString{String},1,Array{SubString{String},1},Tuple{UnitRange{Int64}},true}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/distances/utils.jl,54
StringDistances,matching_blocks!,true,true,1,2,"Set{Tuple{Int64,Int64,Int64}}","Set{Tuple{Int64,Int64,Int64}},StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{String}}},StringDistances.StringWithLength{SubString{StringDistances.StringWithLength{String}}},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/StringDistances/LqX4j/src/distances/edit.jl,255
Distances,evaluate,true,true,0,1,Missing,"DamerauLevenshtein{Nothing},String,Missing",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/StringDistances/depot/packages/Distances/gnt89/src/generic.jl,24
