modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
SymbolicUtils.Rewriters,#Postwalk#4,false,false,0,1,"SymbolicUtils.Rewriters.Walk{:post,SymbolicUtils.Rewriters.IfElse{SymbolicUtils.var""#180#253"",SymbolicUtils.Rewriters.Chain,SymbolicUtils.Rewriters.IfElse{SymbolicUtils.var""#181#254"",SymbolicUtils.Rewriters.Chain,SymbolicUtils.Rewriters.Empty}},_A,_B} where _B where _A","Bool,Int64,Function,typeof(SymbolicUtils.Rewriters.Postwalk),SymbolicUtils.Rewriters.IfElse{SymbolicUtils.var""#180#253"",SymbolicUtils.Rewriters.Chain,SymbolicUtils.Rewriters.IfElse{SymbolicUtils.var""#181#254"",SymbolicUtils.Rewriters.Chain,SymbolicUtils.Rewriters.Empty}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/rewriters.jl,118
SymbolicUtils,arglength,true,true,0,1,Int64,"Pow{Number,Int64,Sym{Number}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/ordering.jl,11
SymbolicUtils,islist,true,true,1,1,Bool,"Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(+)},SymbolicUtils.var""#term_matcher#76""{Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(*)},SymbolicUtils.var""#segment_matcher#74""{SymbolicUtils.Segment{typeof(SymbolicUtils.alwaystrue)}},SymbolicUtils.var""#slot_matcher#73""{SymbolicUtils.Slot{typeof(SymbolicUtils.alwaystrue)}}}},SymbolicUtils.var""#term_matcher#76""{Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(*)},SymbolicUtils.var""#segment_matcher#74""{SymbolicUtils.Segment{typeof(SymbolicUtils.alwaystrue)}},SymbolicUtils.var""#slot_matcher#73""{SymbolicUtils.Slot{typeof(SymbolicUtils.alwaystrue)}}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/utils.jl,38
SymbolicUtils,#term#13,true,true,1,1,Term{Number},"Nothing,typeof(term),typeof(asin),Term{Number}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/types.jl,312
SymbolicUtils.Rewriters,cached_repr,false,false,0,1,Any,"SymbolicUtils.Rewriters.IfElse{SymbolicUtils.var""#183#256"",SymbolicUtils.Rewriters.Chain,SymbolicUtils.Rewriters.Empty}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/rewriters.jl,35
SymbolicUtils,cmp_term_term,false,false,26,11,Any,"Term{Number},Add{Number,Int64,Dict{Any,Number}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/ordering.jl,49
SymbolicUtils,cmp_term_term,false,false,26,11,Any,"Pow{Number,Sym{Number},Int64},Add{Number,Float64,Dict{Any,Number}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/ordering.jl,49
SymbolicUtils,print_arg,true,true,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Pow{Number,Sym{Number},Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/types.jl,363
SymbolicUtils,islike,true,true,0,1,Bool,"Sym{Real},Type{Number}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/methods.jl,31
SymbolicUtils,istree,true,true,0,1,Bool,"Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(+)},SymbolicUtils.var""#term_matcher#76""{Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(^)},SymbolicUtils.var""#term_matcher#76""{Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(cot)},SymbolicUtils.var""#slot_matcher#73""{SymbolicUtils.Slot{typeof(SymbolicUtils.alwaystrue)}}}},SymbolicUtils.var""#literal_matcher#72""{Int64}}},SymbolicUtils.var""#term_matcher#76""{Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(*)},SymbolicUtils.var""#literal_matcher#72""{Int64},SymbolicUtils.var""#term_matcher#76""{Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(^)},SymbolicUtils.var""#term_matcher#76""{Tuple{SymbolicUtils.var""#literal_matcher#72""{typeof(csc)},SymbolicUtils.var""#slot_matcher#73""{SymbolicUtils.Slot{typeof(SymbolicUtils.alwaystrue)}}}},SymbolicUtils.var""#literal_matcher#72""{Int64}}}}}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SymbolicUtils/depot/packages/SymbolicUtils/oQKim/src/types.jl,18
