modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
SystemBenchmark,#_run#48,true,true,13,1,"Tuple{BenchmarkTools.Trial,String}","Bool,String,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(BenchmarkTools._run),BenchmarkTools.Benchmark{Symbol(""##benchmark#320"")},BenchmarkTools.Parameters",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,396
SystemBenchmark,##core#329,true,true,0,1,"Array{UInt8,1}",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,371
SystemBenchmark,getsubmittedbenchmarks,false,false,0,1,Any,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/SystemBenchmark/vhsLA/src/utils.jl,27
SystemBenchmark,##sample#273,true,true,3,1,"Tuple{Float64,Float64,Int64,Int64,Array{Float32,2}}",BenchmarkTools.Parameters,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,372
SystemBenchmark,##sample#355,true,true,3,1,"Tuple{Float64,Float64,Int64,Int64,Base.Process}",BenchmarkTools.Parameters,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,372
SystemBenchmark,runjulia,true,false,0,1,Base.Process,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/SystemBenchmark/vhsLA/src/SystemBenchmark.jl,238
SystemBenchmark,##sample#285,true,true,3,1,"Tuple{Float64,Float64,Int64,Int64,String}",BenchmarkTools.Parameters,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,372
SystemBenchmark,##core#288,true,true,0,1,"Array{UInt8,1}","Array{UInt8,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,371
SystemBenchmark,##sample#352,true,true,3,1,"Tuple{Float64,Float64,Int64,Int64,Base.Process}",BenchmarkTools.Parameters,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,372
SystemBenchmark,#_run#33,true,true,13,1,"Tuple{BenchmarkTools.Trial,Float64}","Bool,String,Base.Iterators.Pairs{Symbol,Integer,NTuple{4,Symbol},NamedTuple{(:samples, :evals, :gctrial, :gcsample),Tuple{Int64,Int64,Bool,Bool}}},typeof(BenchmarkTools._run),BenchmarkTools.Benchmark{Symbol(""##benchmark#263"")},BenchmarkTools.Parameters",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,396
SystemBenchmark,#_run#50,true,true,13,1,"Tuple{BenchmarkTools.Trial,Array{UInt8,1}}","Bool,String,Base.Iterators.Pairs{Symbol,Integer,NTuple{4,Symbol},NamedTuple{(:samples, :evals, :gctrial, :gcsample),Tuple{Int64,Int64,Bool,Bool}}},typeof(BenchmarkTools._run),BenchmarkTools.Benchmark{Symbol(""##benchmark#328"")},BenchmarkTools.Parameters",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,396
SystemBenchmark,#tempwrite#23,true,true,2,1,String,"Bool,String,typeof(SystemBenchmark.tempwrite),Array{UInt8,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/SystemBenchmark/vhsLA/src/SystemBenchmark.jl,202
SystemBenchmark,##core#264,true,true,0,1,Float64,Float64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,371
SystemBenchmark,#_run#31,true,true,13,1,"Tuple{BenchmarkTools.Trial,Float64}","Bool,String,Base.Iterators.Pairs{Symbol,Integer,NTuple{4,Symbol},NamedTuple{(:samples, :evals, :gctrial, :gcsample),Tuple{Int64,Int64,Bool,Bool}}},typeof(BenchmarkTools._run),BenchmarkTools.Benchmark{Symbol(""##benchmark#253"")},BenchmarkTools.Parameters",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,396
SystemBenchmark,##core#312,true,true,0,1,"Array{UInt8,1}","Array{UInt8,1},Array{UInt8,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/SystemBenchmark/depot/packages/BenchmarkTools/eCEpo/src/execution.jl,371
