modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
TaylorModels,polynomial,true,true,0,1,Taylor1{TaylorN{Float64}},"TaylorModel1{TaylorN{Float64},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/constructors.jl,53
IntervalArithmetic,half_pi,true,true,0,1,Interval{BigFloat},BigFloat,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/IntervalArithmetic/dhnJB/src/intervals/trigonometric.jl,14
IntervalArithmetic,interval,false,false,1,1,Any,"Interval{S} where S,Interval{S} where S",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/IntervalArithmetic/dhnJB/src/intervals/intervals.jl,109
TaylorModels,rpa,true,false,0,1,"TaylorModelN{2,Float64,Float64}","typeof(sin),TaylorModelN{2,Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/rpa_functions.jl,184
TaylorModels,remainder,true,true,0,1,Interval{Float64},"TaylorModel1{Interval{Float64},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/constructors.jl,52
TaylorModels,polynomial,true,true,0,1,TaylorN{Float64},"TaylorModelN{1,Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/constructors.jl,146
TaylorModels,remainder,true,true,0,1,Interval{Float64},"TaylorModelN{2,Interval{Float64},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/constructors.jl,145
IntervalArithmetic,multiply_by_positive_constant,true,true,0,1,Interval{BigFloat},"BigFloat,Interval{BigFloat}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/IntervalArithmetic/dhnJB/src/intervals/trigonometric.jl,11
TaylorModels,domain,true,true,0,1,"IntervalBox{1,Float64}","TaylorModelN{1,Float64,Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/constructors.jl,147
TaylorModels,remainder_product,false,false,0,1,Any,"TaylorModel1{TaylorN{Float64},Float64},TaylorModel1{TaylorN{Float64},Float64},Interval{Float64},Any,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/arithmetic.jl,141
TaylorSeries,evaluate,false,false,0,1,Any,"HomogeneousPolynomial{T} where T<:Number,Array{Interval{Float64},1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorSeries/tveWm/src/evaluate.jl,188
TaylorSeries,_evaluate,false,false,5,1,Any,"HomogeneousPolynomial{T} where T<:Number,Tuple{Vararg{Interval{Float64},N} where N}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorSeries/tveWm/src/evaluate.jl,171
TaylorModels,fixorder,true,false,3,2,"Tuple{TaylorModel1{TaylorN{Float64},Float64},TaylorModel1{Taylor1{TaylorN{Float64}},Float64}}","TaylorModel1{TaylorN{Float64},Float64},TaylorModel1{Taylor1{TaylorN{Float64}},Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TaylorModels/depot/packages/TaylorModels/Todyc/src/auxiliary.jl,48
