modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Temporal,hcat,true,true,0,1,"TS{Float64,Date}","TS{Float64,Date},TS{Float64,Date}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/data/combine.jl,103
Temporal,#dropnan#34,true,true,9,4,"Union{Nothing, TS{Float64,Date}}","Int64,typeof(all),typeof(dropnan),TS{Float64,Date}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/data/filter.jl,92
Temporal,#eoq#23,true,true,0,1,"TS{Float64,Date}","Bool,typeof(eoq),TS{Float64,Date}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/data/collapse.jl,143
LinearAlgebra,hcat,true,true,0,1,"LinearAlgebra.Adjoint{Float64,Array{Float64,1}}","LinearAlgebra.Adjoint{Float64,Array{Float64,1}}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,241
Temporal,has_open,true,true,0,1,Bool,"TS{Float64,Date}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/util/ohlc.jl,4
Temporal,rename!,true,false,3,1,Nothing,"Function,TS{Float64,DateTime},Type{Symbol}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/util/alter.jl,15
Temporal,#cumprod#118,true,true,0,1,"TS{Float64,Date}","Int64,typeof(cumprod),TS{Float64,Date}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/calc/operations.jl,104
SparseArrays,hcat,false,false,0,1,"Array{_A,2} where _A","Array{_A,2} where _A,Array{_A,2} where _A",/build/source/usr/share/julia/stdlib/v1.5/SparseArrays/src/sparsevector.jl,1073
Temporal,opjoined,true,true,0,1,"TS{Float64,Date}","TS{Float64,Date},TS{Float64,Date},typeof(/)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/calc/operations.jl,108
Temporal,ijoin,true,true,9,4,"TS{Float64,Date}","TS{Float64,Date},TS{Float64,Date}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/data/combine.jl,57
Temporal,#eow#11,true,true,1,2,BitArray{1},"Bool,typeof(eow),Array{Date,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/data/collapse.jl,77
Temporal,autocol,true,true,5,2,Symbol,Int64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/util/utils.jl,24
Temporal,opjoined,true,true,0,1,"TS{Float64,Date}","TS{Float64,Date},TS{Float64,Date},typeof(^)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/calc/operations.jl,108
Temporal,#collapse#26,true,true,14,1,"TS{Float64,Date}","typeof(mean),Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(collapse),TS{Float64,Date},BitArray{1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Temporal/depot/packages/Temporal/LREd8/src/data/collapse.jl,166
