modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
TensorToolbox,contract,false,false,5,3,Any,"Array{Float64,5},Array{Int64,1},Array{Float64,5},Array{Int64,1},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/tensor.jl,38
TensorToolbox,krontm,false,false,0,1,Any,"Array{Float64,3},Array{Float64,3},Array{AbstractArray{var""#s12"",2} where var""#s12""<:Number,1},UnitRange{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/tensor.jl,273
TensorToolbox,ttv,true,true,4,1,htensor,"htensor,Array{AbstractArray{var""#s12"",1} where var""#s12""<:Number,1},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/htensor.jl,548
TensorToolbox,tenmat,true,true,3,1,"Array{Float64,2}","Array{Float64,6},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/tensor.jl,537
TensorToolbox,innerprod,false,false,2,1,Any,"Array{var""#s86"",N} where var""#s86""<:Number,AbstractArray{var""#s63"",N} where var""#s63""<:Number",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/tensor.jl,222
TensorToolbox,blockdiag,false,false,6,1,Any,"Array{var""#s86"",N} where var""#s86""<:Number,Array{var""#s63"",N} where var""#s63""<:Number",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/tensor.jl,9
TensorToolbox,nvecs,false,false,0,1,Any,"ttensor,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/ttensor.jl,602
TensorToolbox,mttkrp,false,false,9,1,Any,"Array{var""#s86"",N} where N where var""#s86""<:Number,Array{AbstractArray{var""#s12"",2} where var""#s12""<:Number,1},Integer",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/tensor.jl,387
TensorToolbox,#TTsvd#239,true,false,16,1,TTtensor,"Float64,Array{Int64,1},Int64,typeof(TTsvd),Array{Float64,4}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/TTtensor.jl,399
TensorToolbox,sibling,true,true,1,2,Int64,"dimtree,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/dimtree.jl,379
TensorToolbox,ttm,true,false,21,1,htensor,"htensor,Array{AbstractArray{var""#s12"",2} where var""#s12""<:Number,1},Array{Int64,1},Char",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/htensor.jl,512
TensorToolbox,krontv,false,false,3,2,Any,"AbstractArray{var""#s27"",2} where var""#s27""<:Number,AbstractArray{var""#s26"",2} where var""#s26""<:Number,AbstractArray{var""#s25"",1} where var""#s25""<:Number",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/helper.jl,193
TensorToolbox,ttm,false,false,0,1,Any,"Array{var""#s86"",N} where N where var""#s86""<:Number,Array{AbstractArray{var""#s12"",2} where var""#s12""<:Number,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TensorToolbox/depot/packages/TensorToolbox/6LauI/src/tensor.jl,636
