modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
TerminalMenus,config,true,true,0,1,Nothing,,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/config.jl,22
TerminalMenus,request,true,false,0,1,Set{Int64},"REPL.Terminals.TTYTerminal,AbstractString,MultiSelectMenu",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/AbstractMenu.jl,220
TerminalMenus,keypress,true,true,0,1,Bool,"RadioMenu,UInt32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/AbstractMenu.jl,89
TerminalMenus,#printMenu#3,true,false,17,2,Nothing,"Bool,typeof(TerminalMenus.printMenu),IOStream,MultiSelectMenu,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/AbstractMenu.jl,232
TerminalMenus,options,true,true,0,1,"Array{String,1}",RadioMenu,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/RadioMenu.jl,63
TerminalMenus,trimWidth,true,true,4,3,String,"String,Int64,Bool,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/util.jl,35
TerminalMenus,request,true,true,0,1,Int64,RadioMenu,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/AbstractMenu.jl,101
TerminalMenus,printMenu,true,true,0,1,Nothing,"IOStream,MultiSelectMenu,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/AbstractMenu.jl,232
TerminalMenus,disableRawMode,true,false,0,2,Bool,REPL.Terminals.TTYTerminal,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/util.jl,25
TerminalMenus,enableRawMode,true,false,0,2,Bool,REPL.Terminals.TTYTerminal,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/util.jl,14
TerminalMenus,request,true,true,0,1,Set{Int64},MultiSelectMenu,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/AbstractMenu.jl,101
TerminalMenus,writeLine,true,false,2,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},RadioMenu,Int64,Bool,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TerminalMenus/depot/packages/TerminalMenus/V8UiQ/src/RadioMenu.jl,72
