modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
FileIO,#save#20,2,0.5,0.5,2,0,1,280,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,125
FileIO,save,2,0.5,0.5,2,0,1,87,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,125
FileIO,add_format,2,1.0,0.5,1,2,1,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,114
TimeSeriesClustering,#ClustData#1,1,1.0,0.0,1,0,0,497,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/TimeSeriesClustering/3T6SG/src/utils/datastructs.jl,182
FileIO,canonicalize_magic,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,44
FileIO,handle_error,2,1.0,0.0,1,0,0,64,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/error_handling.jl,61
FileIO,_isurl,2,1.0,0.5,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,180
HTTP,@ensure,1,1.0,0.0,1,4,0,569,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/HTTP/4AvE2/src/debug.jl,82
FileIO,detecthdf5,1,1.0,1.0,1,0,0,442,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,390
FileIO,magic_cmp,1,1.0,1.0,1,0,0,59,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,39
FileIO,__init__,1,0.0,0.0,1,0,0,149,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/FileIO.jl,67
TimeSeriesClustering,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/TimeSeriesClustering/3T6SG/src/TimeSeriesClustering.jl,8
HTTP,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/HTTP/4AvE2/src/HTTP.jl,1
FileIO,#loadstreaming#17,1,0.0,0.0,1,4,1,250,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,116
FileIO,#querysym#4,2,1.0,0.0,2,0,0,853,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/query.jl,82
FileIO,#loadstreaming#16,2,0.0,0.0,1,0,1,237,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,109
FileIO,#detect_compressor#36,1,1.0,1.0,1,0,0,959,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,29
FileIO,applies_to_os,1,1.0,1.0,1,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,12
FileIO,action,4,0.0,0.0,1,4,1,97,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,196
FileIO,canonicalize_magic,1,1.0,1.0,1,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,43
FileIO,detect_noometiff,1,1.0,1.0,1,0,0,162,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,377
FileIO,detecttiff,1,1.0,1.0,1,0,0,204,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,370
FileIO,loadstreaming,1,0.0,0.0,1,3,1,91,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,154
FileIO,savestreaming,2,0.5,0.5,2,0,1,87,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,125
HTTP.Parsers,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/HTTP/4AvE2/src/Parsers.jl,18
FileIO,checkpath_save,3,1.0,0.6666666666666666,1,0,0,232,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,170
FileIO,@format_str,1,1.0,0.0,1,4,0,74,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/types.jl,16
FileIO,#loadstreaming#29,1,0.0,0.0,1,12,1,305,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,154
HTTP.ConnectionRequest,__init__,1,1.0,1.0,1,0,0,355,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/HTTP/4AvE2/src/ConnectionRequest.jl,25
HTTP.IOExtras,bytes,1,1.0,1.0,1,0,0,46,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/HTTP/4AvE2/src/IOExtras.jl,28
FileIO,split_predicates,3,1.0,0.3333333333333333,1,0,0,290,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,51
HTTP,taskid,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/HTTP/4AvE2/src/debug.jl,1
FileIO,formatname,83,0.9879518072289156,0.9879518072289156,2,0,0,38,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/types.jl,20
FileIO,detect_rdata_single,1,1.0,1.0,1,0,0,230,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,85
FileIO,eval,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/FileIO.jl,1
FileIO,#action#33,4,0.0,0.0,1,16,1,1899,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,196
FileIO,add_loader,2,1.0,0.5,1,0,0,89,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,15
FileIO,save,1,0.0,0.0,1,1,1,89,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,131
FileIO,applies_to_os,1,1.0,1.0,1,0,0,227,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,13
FileIO,detect_stlbinary,1,1.0,1.0,1,0,0,532,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,439
FileIO,#savestreaming#23,2,0.5,0.5,2,0,1,280,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,125
FileIO,detect_rdata,1,1.0,1.0,1,0,0,176,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,60
FileIO,querysym_all,1,1.0,0.0,1,0,0,768,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/query.jl,156
FileIO,add_format,4,1.0,1.0,1,0,0,63,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,112
FileIO,query,1,0.0,0.0,1,0,0,52,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/query.jl,74
TimeSeriesClustering,#find_column_name#13,1,1.0,0.0,1,0,0,988,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/TimeSeriesClustering/3T6SG/src/utils/load_data.jl,152
FileIO,add_format,1,1.0,1.0,1,0,0,546,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,132
FileIO,detect_stlascii,1,1.0,1.0,1,0,0,413,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,426
FileIO,#detect_compressed#37,1,1.0,1.0,1,0,0,140,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry.jl,57
FileIO,add_loadsave,3,1.0,0.3333333333333333,1,0,0,347,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/registry_setup.jl,65
FileIO,#savestreaming#24,1,0.0,0.0,1,4,1,250,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,131
TimeSeriesClustering,#add_timeseries_data!#12,1,0.0,0.0,1,0,0,800,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/TimeSeriesClustering/3T6SG/src/utils/load_data.jl,123
FileIO,checkpath_load,3,1.0,0.6666666666666666,1,0,0,171,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,164
FileIO,#load#14,2,0.0,0.0,1,0,1,237,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TimeSeriesClustering/depot/packages/FileIO/JA3Vl/src/loadsave.jl,109
