modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
Tokenize.Tokens,endpos,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/token.jl,99
Tokenize.Tokens,isoperator,1,1.0,1.0,1,0,0,68,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/token.jl,12
Tokenize.Lexers,is_cat_id_start,1,1.0,1.0,1,0,0,2810,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/utilities.jl,58
Tokenize.Lexers,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,1
Tokenize.Lexers,lex_dot,3,1.0,1.0,2,0,0,2240,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,867
Tokenize.Lexers,lex_forwardslash,3,1.0,1.0,2,0,0,231,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,845
Tokenize.Lexers,readutf,1,1.0,1.0,1,0,0,696,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/utilities.jl,130
Tokenize.Lexers,dotop2,1,1.0,1.0,1,0,0,636,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/utilities.jl,275
Tokenize.Lexers,next_token,3,1.0,1.0,2,0,0,2354,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,305
Tokenize.Lexers,lex_prime,3,1.0,1.0,2,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,714
Tokenize.Lexers,lex_backslash,3,1.0,1.0,2,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,859
Tokenize.Lexers,lex_quote,3,1.0,1.0,2,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,763
Tokenize.Tokens,untokenize,1,1.0,1.0,1,0,0,1096,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/token.jl,102
Tokenize.Lexers,peekchar,1,1.0,1.0,1,0,0,247,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/utilities.jl,122
Tokenize.Lexers,lex_percent,3,1.0,1.0,2,0,0,113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,515
Tokenize.Tokens,startpos,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/token.jl,98
Tokenize,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/Tokenize.jl,1
Tokenize.Tokens,_add_kws,1,1.0,1.0,1,0,0,210,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/token.jl,17
Tokenize.Lexers,eof,1,1.0,1.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/utilities.jl,172
Tokenize.Lexers,next_token,3,1.0,1.0,2,0,0,47,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,305
Tokenize.Tokens,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/token.jl,1
Tokenize.Lexers,emit,2,1.0,1.0,1,0,0,804,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,246
Tokenize.Lexers,emit_error,3,1.0,1.0,2,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,295
Tokenize.Lexers,lex_plus,3,1.0,1.0,2,0,0,172,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,535
Tokenize.Lexers,is_operator_start_char,1,1.0,1.0,1,0,0,15113,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/utilities.jl,371
Tokenize,_precompile_,1,1.0,1.0,1,0,0,9529,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/_precompile.jl,3
Tokenize.Lexers,emit,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,271
Tokenize.Lexers,readchar,3,1.0,1.0,1,0,0,558,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,176
Tokenize.Lexers,tokenize,1,1.0,1.0,1,0,0,50,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,72
Tokenize.Lexers,readchar,2,1.0,1.0,1,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/utilities.jl,174
Tokenize.Lexers,lex_whitespace,3,1.0,1.0,2,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tokenize/depot/packages/Tokenize/VPD4P/src/lexer.jl,397
