modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
TrajectoryOptimization,ispossemidef,3,1.0,0.0,1,0,0,122,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/TrajectoryOptimization/zuW7S/src/utils.jl,2
TrajectoryOptimization,checkBounds,3,0.0,0.0,1,0,0,118,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/TrajectoryOptimization/zuW7S/src/constraints.jl,536
MathOptInterface.Utilities,supports,2,1.0,0.5,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,184
MathOptInterface,supports_dimension_update,6,1.0,0.8333333333333334,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/MathOptInterface/YDdD3/src/sets.jl,914
MathOptInterface.Utilities,set,1,1.0,0.0,1,0,0,137,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,415
MathOptInterface.Utilities,constraints,83,0.963855421686747,0.963855421686747,4,0,0,232,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/MathOptInterface/YDdD3/src/Utilities/universalfallback.jl,638
MathOptInterface.Bridges.Objective,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/MathOptInterface/YDdD3/src/Bridges/Objective/Objective.jl,1
MathOptInterface.Utilities,set,80,1.0,0.5,1,0,0,84,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,583
MathOptInterface,constant,4,0.5,0.5,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/MathOptInterface/YDdD3/src/functions.jl,396
TrajectoryOptimization,constraint_type!,1,1.0,0.0,1,0,0,580,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TrajectoryOptimization/depot/packages/TrajectoryOptimization/zuW7S/src/nlp.jl,765
