modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
TravelingSalesmanHeuristics,simulated_annealing,1,0.0,0.0,1,0,0,89,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/simulated_annealing.jl,21
TravelingSalesmanHeuristics,pathcost,6,0.8333333333333334,0.6666666666666666,4,0,0,309,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,65
TravelingSalesmanHeuristics,farthest_insertion,1,1.0,1.0,1,0,0,76,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,265
TravelingSalesmanHeuristics,two_opt,3,0.6666666666666666,0.3333333333333333,2,0,0,103,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,332
TravelingSalesmanHeuristics,#cheapest_insertion#13,3,0.6666666666666666,0.0,2,0,0,1243,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,218
TravelingSalesmanHeuristics,pathcost_rev_delta,2,0.5,0.5,2,0,0,592,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,106
TravelingSalesmanHeuristics,#repetitive_heuristic#1,10,1.0,1.0,1,0,0,764,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,41
TravelingSalesmanHeuristics,improvement_threshold,1,1.0,1.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,136
TravelingSalesmanHeuristics,include,1,0.0,0.0,1,0,0,48,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,1
TravelingSalesmanHeuristics,inscost,4,0.75,0.75,3,0,0,159,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,140
TravelingSalesmanHeuristics,minspantree,2,0.5,0.5,2,0,0,996,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/lowerbounds.jl,22
TravelingSalesmanHeuristics,_two_opt_logic,4,0.5,0.5,3,0,0,765,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,338
TravelingSalesmanHeuristics,cheapest_insertion,4,0.75,0.5,3,0,0,826,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,176
TravelingSalesmanHeuristics,solve_tsp,1,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,28
TravelingSalesmanHeuristics,legal_circuit,1,1.0,1.0,1,0,0,171,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,21
TravelingSalesmanHeuristics,hkinspired_bound,1,0.0,0.0,1,0,0,1378,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/lowerbounds.jl,71
TravelingSalesmanHeuristics,lowerbound,1,0.0,0.0,1,0,0,131,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/lowerbounds.jl,129
TravelingSalesmanHeuristics,#solve_tsp#7,2,1.0,0.0,1,0,0,2408,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,28
TravelingSalesmanHeuristics,nearest_neighbor,1,1.0,1.0,1,0,0,78,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,104
TravelingSalesmanHeuristics,#simulated_annealing#3,2,0.5,0.0,2,0,0,993,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/simulated_annealing.jl,21
TravelingSalesmanHeuristics,repetitive_heuristic,2,1.0,1.0,1,0,0,55,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,41
TravelingSalesmanHeuristics,vertwise_bound,1,1.0,1.0,1,0,0,258,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/lowerbounds.jl,8
TravelingSalesmanHeuristics,cheapest_insertion,1,1.0,1.0,1,0,0,77,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,218
TravelingSalesmanHeuristics,pathcost,6,0.8333333333333334,0.6666666666666666,4,0,0,62,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,65
TravelingSalesmanHeuristics,pathcost_rev_delta,3,1.0,0.6666666666666666,2,0,0,1093,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,76
TravelingSalesmanHeuristics,#nearest_neighbor#12,4,1.0,0.0,1,0,0,1583,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,104
TravelingSalesmanHeuristics,#farthest_insertion#14,2,1.0,1.0,1,0,0,1402,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/TravelingSalesmanHeuristics.jl,265
TravelingSalesmanHeuristics,randpath,2,0.5,0.5,2,0,0,116,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/simulated_annealing.jl,82
TravelingSalesmanHeuristics,repetitive_heuristic,2,1.0,1.0,1,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,41
TravelingSalesmanHeuristics,check_square,3,1.0,1.0,1,0,0,112,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/TravelingSalesmanHeuristics/depot/packages/TravelingSalesmanHeuristics/thLsg/src/helpers.jl,6
