modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
MathOptInterface.Bridges.Constraint,concrete_bridge_type,8,0.0,0.0,6,0,0,41,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/Constraint/bridge.jl,138
Tulip,empty!,3,1.0,1.0,1,0,0,461,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/Tulip/WsZfw/src/Interfaces/MOI/MOI_wrapper.jl,133
MathOptInterface.Bridges,is_bridged,14,1.0,0.5714285714285714,2,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/lazy_bridge_optimizer.jl,354
MathOptInterface.Utilities.DoubleDicts,init_inner_dict,58,1.0,0.9310344827586207,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Utilities/DoubleDicts.jl,168
MathOptInterface,_result_index_field,2,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/attributes.jl,135
MathOptInterface.Utilities,get,4,0.0,0.0,1,0,0,158,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,836
MathOptInterface.Utilities,_reverse_dict,1,1.0,1.0,1,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Utilities/cachingoptimizer.jl,208
MathOptInterface.Utilities,constraints,2,1.0,1.0,2,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,269
Tulip,set_parameter,9,1.0,1.0,1,0,0,672,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/Tulip/WsZfw/src/Interfaces/tulip_julia_api.jl,203
MathOptInterface.Bridges,modify_bridged_change,4,1.0,0.0,1,0,0,434,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/bridge_optimizer.jl,1553
MathOptInterface.Utilities,build_name_to_con_map,1,1.0,0.0,1,0,0,368,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,270
MathOptInterface,instantiate,2,0.0,0.0,2,0,0,54,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/instantiate.jl,115
LinearAlgebra,transpose,4,1.0,1.0,4,0,0,49,/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,167
MathOptInterface.Bridges.Constraint,added_constrained_variable_types,24,1.0,1.0,1,0,0,56,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/Constraint/set_map.jl,30
MathOptInterface.Utilities,get,169,0.9467455621301775,0.9467455621301775,22,0,0,71,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Utilities/struct_of_constraints.jl,43
MathOptInterface.Bridges.Objective,get,5,0.0,0.0,1,0,0,259,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/Objective/slack.jl,113
Tulip,supports,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/Tulip/WsZfw/src/Interfaces/MOI/variables.jl,17
MathOptInterface.Utilities,remove_variable,47,0.8297872340425532,0.8297872340425532,46,0,0,222,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Utilities/model.jl,42
MathOptInterface.Bridges.Variable,is_bridged,1,1.0,0.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/Variable/single_bridge_optimizer.jl,62
MathOptInterface.Test,solve_affine_lessthan,2,1.0,1.0,1,0,0,343,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Test/UnitTests/constraints.jl,52
MathOptInterface.Bridges.Constraint,rotate_function_type,2,1.0,1.0,1,0,0,211,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/Constraint/rsoc.jl,24
MathOptInterface.Bridges,set,6,1.0,1.0,1,0,0,176,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Tulip/depot/packages/MathOptInterface/YDdD3/src/Bridges/bridge_optimizer.jl,1304
