modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
UnicodePlots,points!,6,1.0,1.0,6,0,0,528,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas.jl,11
UnicodePlots,addseries!,2,1.0,1.0,1,0,0,306,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/graphics/boxgraphics.jl,52
UnicodePlots,roundable,2,1.0,1.0,1,0,0,115,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/common.jl,36
UnicodePlots,x_pixel_per_char,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/dotcanvas.jl,33
UnicodePlots,ncols,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/braillecanvas.jl,30
UnicodePlots,y_pixel_per_char,1,1.0,1.0,1,0,0,37,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/heatmapcanvas.jl,22
UnicodePlots,nrows,1,1.0,1.0,1,0,0,70,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/heatmapcanvas.jl,27
UnicodePlots,lookup_encode,1,1.0,1.0,1,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/heatmapcanvas.jl,24
UnicodePlots,#BrailleCanvas#13,2,1.0,1.0,1,0,0,467,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/braillecanvas.jl,35
UnicodePlots,nrows,3,1.0,1.0,1,0,0,53,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/lookupcanvas.jl,14
UnicodePlots,print_border_bottom,2,1.0,1.0,1,0,0,197,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/plot.jl,376
UnicodePlots,round_up_tick,5,0.8,0.8,2,0,0,218,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/common.jl,40
UnicodePlots,x_pixel_per_char,1,1.0,1.0,1,0,0,39,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/blockcanvas.jl,42
UnicodePlots,#points!#7,6,1.0,1.0,6,0,0,61,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas.jl,21
UnicodePlots,#CreateLookupCanvas#12,8,1.0,1.0,4,0,0,467,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/lookupcanvas.jl,17
UnicodePlots,#HeatmapCanvas#18,2,1.0,1.0,1,0,1,126,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/heatmapcanvas.jl,29
UnicodePlots,lines!,6,1.0,1.0,6,0,0,342,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas.jl,85
UnicodePlots,origin_y,1,1.0,1.0,1,0,0,51,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/UnicodePlots/depot/packages/UnicodePlots/3Cz98/src/canvas/braillecanvas.jl,26
