modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
IntervalArithmetic,atomic,3,1.0,1.0,2,0,0,130,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/intervals/conversion.jl,95
IntervalConstraintProgramming,pave,1,1.0,1.0,1,0,0,58,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalConstraintProgramming/HiqgO/src/setinversion.jl,57
IntervalArithmetic,isnai,2,0.5,0.5,2,0,0,85,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/decorations/functions.jl,18
IntervalContractors,power_rev,1,1.0,1.0,1,0,0,609,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalContractors/9JqVP/src/arithmetic.jl,93
IntervalArithmetic,diam,1,1.0,1.0,1,0,0,75,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/multidim/intervalbox.jl,92
IntervalRootFinding,interval,2,0.5,0.5,2,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalRootFinding/8d8pn/src/root_object.jl,23
IntervalConstraintProgramming,make_symbol,1,1.0,0.0,1,0,0,270,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalConstraintProgramming/HiqgO/src/ast.jl,19
IntervalArithmetic,round_expr,2,0.0,0.0,1,0,0,501,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/intervals/rounding_macros.jl,9
IntervalContractors,plus_rev,1,1.0,1.0,1,0,0,124,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalContractors/9JqVP/src/arithmetic.jl,5
IntervalContractors,symmetrise,1,0.0,0.0,1,0,0,60,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalContractors/9JqVP/src/transformations.jl,60
IntervalConstraintProgramming,make_forward_function,2,1.0,0.0,1,0,0,285,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalConstraintProgramming/HiqgO/src/code_generation.jl,186
IntervalArithmetic,isnai,1,1.0,0.0,1,0,0,83,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/decorations/functions.jl,19
StaticArrays,iterate,1,1.0,1.0,1,0,0,136,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/StaticArrays/qd9eq/src/SOneTo.jl,48
IntervalArithmetic,hull,1,1.0,1.0,1,0,0,109,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/intervals/set_operations.jl,122
IntervalRootFinding,bisect,2,0.5,0.5,2,0,0,57,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalRootFinding/8d8pn/src/roots.jl,53
IntervalArithmetic,is_valid_interval,3,1.0,0.6666666666666666,1,0,0,402,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/intervals/intervals.jl,77
StaticArrays,cross,2,1.0,1.0,2,0,0,67,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/StaticArrays/qd9eq/src/linalg.jl,175
IntervalArithmetic,setindex,2,0.5,0.5,2,0,0,73,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalArithmetic/dhnJB/src/multidim/intervalbox.jl,28
IntervalConstraintProgramming,emit_forward_code,1,1.0,0.0,1,0,0,549,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalConstraintProgramming/HiqgO/src/code_generation.jl,84
IntervalConstraintProgramming,flatten!,2,0.5,0.5,2,0,0,40,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/ValidatedNumerics/depot/packages/IntervalConstraintProgramming/HiqgO/src/ast.jl,118
