modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
VoronoiDelaunay,_flipbc!,true,true,0,1,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64,VoronoiDelaunay.DelaunayTriangle{Point2D},VoronoiDelaunay.DelaunayTriangle{Point2D}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,497
Pkg.Resolve,push!,true,false,4,1,Pkg.Resolve.ResolveLogEntry,"Pkg.Resolve.ResolveLogEntry,Tuple{Union{Nothing, Pkg.Resolve.ResolveLogEntry},String},Bool",/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/graphtype.jl,28
Markdown,push!,true,true,0,1,"Array{Any,1}","Markdown.MD,Markdown.Paragraph",/build/source/usr/share/julia/stdlib/v1.5/Markdown/src/parse/parse.jl,23
VoronoiDelaunay,push!,true,true,0,1,Nothing,"DelaunayTessellation2D{Point2D},Point2D",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,660
Pkg.Resolve,iterate,true,true,0,1,"Union{Nothing, Tuple{Int64,Int64}}","Pkg.Resolve.NodePerm,Int64",/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/maxsum.jl,228
Distributed,push!,false,false,1,2,Any,"Distributed.WorkerPool,Int64",/build/source/usr/share/julia/stdlib/v1.5/Distributed/src/workerpool.jl,152
Markdown,push!,true,true,0,1,"Array{Any,1}","Markdown.MD,Markdown.Admonition",/build/source/usr/share/julia/stdlib/v1.5/Markdown/src/parse/parse.jl,23
VoronoiDelaunay,_endflipc!,true,true,6,3,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64,VoronoiDelaunay.DelaunayTriangle{Point2D},VoronoiDelaunay.DelaunayTriangle{Point2D}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,530
GeometricalPredicates,geta,true,true,0,1,Point2D,VoronoiDelaunay.DelaunayTriangle{Point2D},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,427
GeometricalPredicates,getc,true,true,0,1,Point2D,VoronoiDelaunay.DelaunayTriangle{Point2D},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,429
VoronoiDelaunay,sizefit_at_least,true,true,5,2,"Union{Nothing, DelaunayTessellation2D{Point2D}}","DelaunayTessellation2D{Point2D},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,122
VoronoiDelaunay,_flipab!,true,true,0,1,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64,VoronoiDelaunay.DelaunayTriangle{Point2D},VoronoiDelaunay.DelaunayTriangle{Point2D}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,393
VoronoiDelaunay,sizehint!,true,true,3,2,"Union{Nothing, DelaunayTessellation2D{Point2D}}","DelaunayTessellation2D{Point2D},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,111
Markdown,push!,true,true,0,1,"Array{Any,1}","Markdown.MD,Markdown.Table",/build/source/usr/share/julia/stdlib/v1.5/Markdown/src/parse/parse.jl,23
VoronoiDelaunay,_endflipa!,true,true,6,3,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64,VoronoiDelaunay.DelaunayTriangle{Point2D},VoronoiDelaunay.DelaunayTriangle{Point2D}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,354
VoronoiDelaunay,_flipca!,true,true,0,1,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64,VoronoiDelaunay.DelaunayTriangle{Point2D},VoronoiDelaunay.DelaunayTriangle{Point2D}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,551
GeometricalPredicates,gety,true,true,0,1,Float64,Point2D,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,89
LibGit2,iterate,true,true,0,1,"Union{Nothing, Tuple{LibGit2.RebaseOperation,Nothing}}",LibGit2.GitRebase,/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/rebase.jl,48
Markdown,push!,true,false,0,1,"Array{Any,1}","Markdown.MD,Any",/build/source/usr/share/julia/stdlib/v1.5/Markdown/src/parse/parse.jl,23
Markdown,push!,true,true,0,1,"Array{Any,1}","Markdown.MD,Markdown.Footnote",/build/source/usr/share/julia/stdlib/v1.5/Markdown/src/parse/parse.jl,23
VoronoiDelaunay,_flipcc!,true,true,0,1,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64,VoronoiDelaunay.DelaunayTriangle{Point2D},VoronoiDelaunay.DelaunayTriangle{Point2D}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,585
Pkg.Resolve,push!,true,true,4,1,Pkg.Resolve.ResolveLogEntry,"Pkg.Resolve.ResolveLogEntry,Tuple{Pkg.Resolve.ResolveLogEntry,String},Bool",/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/graphtype.jl,28
VoronoiDelaunay,_flipba!,true,true,0,1,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64,VoronoiDelaunay.DelaunayTriangle{Point2D},VoronoiDelaunay.DelaunayTriangle{Point2D}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,463
VoronoiDelaunay,_flipa!,true,true,2,3,Int64,"DelaunayTessellation2D{Point2D},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,342
VoronoiDelaunay,_pushunfixed!,true,true,8,1,Int64,"DelaunayTessellation2D{Point2D},Point2D",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,294
