modl,funcname,occurs,stable,grounded,rettypes,nospec,vararg,size,file,line
VoronoiDelaunay,_flipc!,1,1.0,1.0,1,0,0,354,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,517
GeometricalPredicates,getc,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,429
GeometricalPredicates,gety,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,89
Distributed,push!,1,0.0,0.0,1,0,0,197,/build/source/usr/share/julia/stdlib/v1.5/Distributed/src/workerpool.jl,152
VoronoiDelaunay,_flipbb!,1,1.0,1.0,1,0,0,359,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,479
GeometricalPredicates,getb,1,1.0,1.0,1,0,0,49,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/GeometricalPredicates/OoUPy/src/GeometricalPredicates.jl,428
VoronoiDelaunay,_flipbc!,1,1.0,1.0,1,0,0,359,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,497
VoronoiDelaunay,_flipa!,1,1.0,1.0,1,0,0,354,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,342
LibGit2,iterate,1,1.0,1.0,1,0,0,47,/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/rebase.jl,48
LibGit2,iterate,1,1.0,1.0,1,0,0,409,/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/config.jl,225
Pkg.Resolve,push!,3,1.0,0.6666666666666666,1,0,0,53,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/graphtype.jl,28
VoronoiDelaunay,_flipca!,1,1.0,1.0,1,0,0,362,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,551
Pkg.Resolve,iterate,2,1.0,1.0,1,0,1,74,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/maxsum.jl,228
VoronoiDelaunay,_flipab!,1,1.0,1.0,1,0,0,359,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,393
VoronoiDelaunay,_pushunfixed!,1,1.0,1.0,1,0,0,1333,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,294
VoronoiDelaunay,iterate,1,1.0,1.0,1,0,0,414,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,255
VoronoiDelaunay,push!,1,1.0,1.0,1,0,0,152,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,660
VoronoiDelaunay,sizefit_at_least,1,1.0,1.0,1,0,0,384,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/VoronoiDelaunay/depot/packages/VoronoiDelaunay/8MLj0/src/VoronoiDelaunay.jl,122
Pkg.Resolve,push!,3,1.0,0.6666666666666666,1,0,0,173,/build/source/usr/share/julia/stdlib/v1.5/Pkg/src/Resolve/graphtype.jl,28
