modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
WAV,read_companded_samples,true,false,0,0,Union{},"Base.GenericIOBuffer{Array{UInt8,1}},Int64,WAV.WAVFormat,Function,Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,369
WAV,#wavread#17,false,false,10,2,Tuple,"Colon,String,typeof(WAV.wavread),IOStream",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,754
WAV,write_data,true,true,4,4,Nothing,"IOStream,WAV.WAVFormat,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,672
WAV,write_pcm_samples,true,false,2,1,Nothing,"IOStream,WAV.WAVFormat,AbstractArray{T<:AbstractFloat,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,644
WAV,write_ieee_float_samples,true,false,0,1,Nothing,"IOStream,WAV.WAVFormat,Array{Float64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,667
WAV,read_companded_samples,true,true,7,2,"Array{Int64,2}","IOStream,Int64,WAV.WAVFormat,UnitRange{UInt64},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,369
WAV,write_data,true,true,4,4,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},WAV.WAVFormat,Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,672
WAV,read_alaw_samples,true,true,2,1,"Array{Int64,2}","IOStream,UInt32,WAV.WAVFormat,UnitRange{UInt64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,453
WAV,wavappend,true,true,2,1,Nothing,"Array{Float64,1},IOStream",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,1001
WAV,read_companded_samples,true,true,7,2,"Array{Int64,2}","Base.GenericIOBuffer{Array{UInt8,1}},Int64,WAV.WAVFormat,UnitRange{Int64},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,369
WAV,read_pcm_samples,false,false,11,2,"Array{_A,2} where _A","Base.GenericIOBuffer{Array{UInt8,1}},Int64,WAV.WAVFormat,UnitRange{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,316
WAV,read_ieee_float_samples,true,true,1,2,"Array{Float32,2}","Base.GenericIOBuffer{Array{UInt8,1}},Int64,WAV.WAVFormat,UnitRange{UInt64},Type{Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,349
WAV,write_companded_samples,true,false,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Array{Float64,1},typeof(WAV.compress_sample_mulaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,582
WAV,get_default_pcm_precision,true,true,0,1,Int64,"Base.ReshapedArray{Int16,2,UnitRange{Int16},Tuple{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,820
WAV,write_pcm_samples,true,false,9,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},WAV.WAVFormat,AbstractArray{T<:Integer,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,627
WAV,wavappend,true,true,2,1,Nothing,"Array{Float64,1},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,1001
WAV,#wavwrite#21,true,true,26,1,Nothing,"Int64,Int64,UInt16,Array{WAV.WAVChunk,1},typeof(WAV.wavwrite),Array{Float64,2},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,922
WAV,#wavwrite#21,true,true,26,1,Nothing,"Int64,Int64,UInt16,Array{WAV.WAVChunk,1},typeof(WAV.wavwrite),Array{Float32,2},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,922
WAV,wavwrite,true,true,0,1,Nothing,"Base.ReshapedArray{Int16,2,UnitRange{Int16},Tuple{}},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,1042
WAV,read_mulaw_samples,true,false,2,0,Union{},"IOStream,Int64,WAV.WAVFormat,Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,388
WAV,#wavread#17,false,false,10,2,Tuple,"UnitRange{Int64},String,typeof(WAV.wavread),Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,754
WAV,convert_pcm_to_double,true,true,0,1,"Array{Float64,2}","Array{Int64,2},UInt16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,593
WAV,convert_pcm_to_double,true,true,0,1,"Array{Float64,2}","Array{Int64,2},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,593
WAV,read_mulaw_samples,true,true,2,1,"Array{Int64,2}","IOStream,UInt32,WAV.WAVFormat,UnitRange{UInt64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,388
WAV,compress_sample_alaw,false,false,6,1,Any,Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,531
WAV,get_default_precision,true,false,4,3,Int64,"AbstractArray{Float64,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,823
WAV,read_data,false,false,11,1,Any,"IOStream,UInt32,WAV.WAVFormat,String,Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,595
WAV,read_pcm_samples,false,false,11,2,"Array{_A,2} where _A","Base.GenericIOBuffer{Array{UInt8,1}},UInt32,WAV.WAVFormat,UnitRange{UInt64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,316
WAV.WAVPlay,wavplay,true,true,9,1,Nothing,"Array{Float64,1},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/wavplay-pulse.jl,82
WAV,read_ieee_float_samples,true,false,0,0,Union{},"IOStream,UInt32,WAV.WAVFormat,Function,Type{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,349
WAV,write_companded_samples,true,false,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},AbstractArray{T<:Integer,N} where N,typeof(WAV.compress_sample_alaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,574
WAV,bits_per_sample,true,true,1,2,UInt16,WAV.WAVFormat,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,84
WAV,write_pcm_samples,true,true,9,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},WAV.WAVFormat,Array{UInt8,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,627
WAV,compress_sample_mulaw,false,false,4,1,Any,Any,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,494
WAV,read_ieee_float_samples,true,true,1,2,"Array{Float32,2}","Base.GenericIOBuffer{Array{UInt8,1}},UInt32,WAV.WAVFormat,UnitRange{Int64},Type{Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,349
WAV,write_le,true,true,0,1,Int64,"Base.GenericIOBuffer{Array{UInt8,1}},UInt32",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,52
WAV,get_default_compression,true,true,0,1,UInt16,"Array{Int32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,817
WAV,write_ieee_float_samples,true,false,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},WAV.WAVFormat,Base.ReshapedArray{Int16,2,UnitRange{Int16},Tuple{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,667
WAV,read_ieee_float_samples,true,true,1,2,"Array{Float64,2}","Base.GenericIOBuffer{Array{UInt8,1}},UInt32,WAV.WAVFormat,UnitRange{Int64},Type{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,349
WAV,read_alaw_samples,true,true,2,1,"Array{Int64,2}","Base.GenericIOBuffer{Array{UInt8,1}},Int64,WAV.WAVFormat,UnitRange{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,453
WAV,#wavwrite#21,true,false,26,1,Nothing,"Int64,Int64,Int64,Array{WAV.WAVChunk,1},typeof(WAV.wavwrite),Array{Float64,1},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,922
WAV,write_ieee_float_samples,true,true,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,657
WAV,read_ieee_float_samples,true,false,0,0,Union{},"Base.GenericIOBuffer{Array{UInt8,1}},Int64,WAV.WAVFormat,Function,Type{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,349
WAV,#wavwrite#21,true,true,26,1,Nothing,"Int64,Int64,UInt16,Array{WAV.WAVChunk,1},typeof(WAV.wavwrite),Array{Float64,1},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,922
WAV,compress_sample_mulaw,true,false,4,1,UInt8,UInt8,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,494
WAV,read_header,true,true,2,1,UInt32,IOStream,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,209
WAV,write_companded_samples,true,true,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Base.ReshapedArray{Int16,2,UnitRange{Int16},Tuple{}},typeof(WAV.compress_sample_alaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,574
WAV,getformat,true,true,0,1,WAV.WAVFormat,"Array{WAV.WAVChunk,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,158
WAV,#wavwrite#21,true,false,26,1,Nothing,"Float64,Int64,Int64,Array{WAV.WAVChunk,1},typeof(WAV.wavwrite),Array{Float64,2},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,922
WAV,write_companded_samples,true,false,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Array{Float32,2},Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,582
WAV,convert_pcm_to_double,true,true,0,1,"Array{Float64,2}","Array{UInt8,2},UInt16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,590
WAV,compress_sample_alaw,true,false,6,1,UInt8,Int16,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,531
WAV,read_ieee_float_samples,true,false,0,0,Union{},"Base.GenericIOBuffer{Array{UInt8,1}},UInt32,WAV.WAVFormat,Function,Type{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,349
WAV,write_le,true,true,0,1,Int64,"Base.GenericIOBuffer{Array{UInt8,1}},UInt16",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,52
WAV,read_alaw_samples,true,true,2,1,"Array{Int64,2}","IOStream,Int64,WAV.WAVFormat,UnitRange{UInt64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,453
WAV,write_companded_samples,true,false,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Array{Float32,2},typeof(WAV.compress_sample_alaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,582
WAV,write_ieee_float_samples,true,true,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Array{Float32,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,657
WAV,read32,true,true,0,1,UInt32,"UInt8,UInt8,UInt8,UInt8",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAVChunk.jl,19
WAV,read_companded_samples,true,true,7,2,"Array{Int64,2}","Base.GenericIOBuffer{Array{UInt8,1}},UInt32,WAV.WAVFormat,UnitRange{Int64},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,369
WAV,write_le,true,true,0,1,Int64,"IOStream,UInt8",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,52
WAV,write_companded_samples,true,true,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Array{Int16,1},typeof(WAV.compress_sample_alaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,574
WAV,write_ieee_float_samples,true,false,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,657
WAV,read_pcm_samples,false,false,11,2,"Array{_A,2} where _A","IOStream,UInt32,WAV.WAVFormat,UnitRange{UInt64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,316
WAV,write_format,true,true,3,2,"Union{Nothing, Int64}","Base.GenericIOBuffer{Array{UInt8,1}},WAV.WAVFormat",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,274
WAV,write_companded_samples,true,false,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Array{Float32,2},typeof(WAV.compress_sample_mulaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,582
WAV,compress_sample_mulaw,true,false,4,1,UInt8,Int32,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,494
WAV,write_companded_samples,true,false,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},AbstractArray{T<:Integer,N} where N,typeof(WAV.compress_sample_mulaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,574
WAV,write_data,true,true,4,4,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},WAV.WAVFormat,Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,672
WAV,write_le,true,true,0,1,Int64,"Base.GenericIOBuffer{Array{UInt8,1}},UInt8",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,52
WAV,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,38
WAV,read_ieee_float_samples,false,false,0,1,"Union{Array{Float32,2}, Array{Float64,2}}","IOStream,Int64,WAV.WAVFormat,UnitRange{UInt64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,364
WAV,#wavwrite#21,true,false,26,1,Nothing,"Int64,Int64,Int64,Array{WAV.WAVChunk,1},typeof(WAV.wavwrite),Base.ReshapedArray{Int16,2,UnitRange{Int16},Tuple{}},Base.GenericIOBuffer{Array{UInt8,1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,922
WAV,write_companded_samples,true,true,6,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Base.ReshapedArray{UInt8,2,UnitRange{UInt8},Tuple{}},typeof(WAV.compress_sample_mulaw)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,574
WAV,get_default_compression,true,true,0,1,UInt16,"Array{Float32,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,818
WAV,read_companded_samples,true,false,0,0,Union{},"IOStream,UInt32,WAV.WAVFormat,Function,Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,369
WAV,write_le,true,true,0,1,Int64,"Base.GenericIOBuffer{Array{UInt8,1}},Float64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,52
WAV,read_ieee_float_samples,true,false,0,0,Union{},"IOStream,UInt32,WAV.WAVFormat,Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,364
WAV,read_alaw_samples,true,true,2,1,"Array{Int64,2}","Base.GenericIOBuffer{Array{UInt8,1}},UInt32,WAV.WAVFormat,UnitRange{UInt64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,453
WAV,read_ieee_float_samples,true,true,1,2,"Array{Float64,2}","Base.GenericIOBuffer{Array{UInt8,1}},UInt32,WAV.WAVFormat,UnitRange{UInt64},Type{Float64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,349
WAV,write_companded_samples,true,false,0,1,Nothing,"IOStream,Array{Float64,1},Function",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,582
WAV,get_default_precision,true,true,4,3,Int64,"Base.ReshapedArray{Int16,2,UnitRange{Int16},Tuple{}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WAV/depot/packages/WAV/eEWw6/src/WAV.jl,823
