modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Pkg.TOML,write,true,true,0,1,Int64,"Pkg.TOML.Parser{IOStream},Char",/build/source/usr/share/julia/stdlib/v1.5/Pkg/ext/TOML/src/parser.jl,56
Mux,stack,true,true,0,1,"Mux.var""#3#4""{Mux.var""#3#4""{typeof(Mux.todict),typeof(Mux.wcatch)},typeof(Mux.splitquery)}","Mux.var""#3#4""{typeof(Mux.todict),typeof(Mux.wcatch)},typeof(Mux.splitquery)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Mux/3h8RY/src/Mux.jl,14
WebIO,_pvec,false,false,0,1,FunctionalCollections.PersistentVector,"AbstractArray{T,1} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/util.jl,4
Mux,splitpath,true,true,0,1,"Array{SubString{String},1}",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Mux/3h8RY/src/routing.jl,14
Blink,resource,true,true,0,1,String,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Blink/mwJC9/src/content/server.jl,5
WebIO,#Node#25,true,false,0,1,Node{DOM},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{Node},String,String,Vararg{String,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,45
HTTP.Messages,write,true,true,0,1,Nothing,"HTTP.ConnectionPool.Transaction{TCPSocket},HTTP.Messages.Response",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/HTTP/4AvE2/src/Messages.jl,516
WebIO,setprops,true,true,0,1,Node{DOM},"Node{DOM},Dict{Symbol,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,99
WebIO,#Node#25,true,false,0,1,Node{DOM},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{Node},Symbol,String,Vararg{String,N} where N",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,45
WebIO,showjs,true,true,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},WebIO.JSString",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/syntax.jl,193
WebIO,nodetype,true,true,0,1,String,Node{DOM},/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,71
WebIO,iterate_interpolations,true,true,0,1,"Union{Nothing, Tuple{Any,Any}}",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/syntax.jl,85
WebIO,#Node#25,true,true,0,1,Node{DOM},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{Node},Symbol,Array{Float64,2}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,45
WebSockets,write,false,false,0,1,Any,"WebSocket,Array{UInt8,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebSockets/QcswW/src/WebSockets.jl,219
WebIO,eval,false,false,0,1,Any,Expr,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/WebIO.jl,1
Mux,@errs,true,false,0,1,Expr,"LineNumberNode,Module,Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Mux/3h8RY/src/lazy.jl,3
WebIO,mergeprops,true,true,1,1,Node{DOM},"Node{DOM},Dict{Union{},Union{}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,108
Mux,mux,true,true,0,1,"Mux.var""#1#2""{Mux.var""#21#22""{Mux.var""#25#26""{Symbol,Int64}},Mux.var""#23#24""{String}}","Mux.var""#21#22""{Mux.var""#25#26""{Symbol,Int64}},Mux.var""#23#24""{String}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Mux/3h8RY/src/Mux.jl,10
LibGit2,close,true,true,2,3,"Union{Nothing, Int32}",LibGit2.GitCommit,/build/source/usr/share/julia/stdlib/v1.5/LibGit2/src/types.jl,1033
WebIO,register_renderable,false,false,0,1,Any,"Type{T},Val{:mux}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/providers/mux.jl,84
HTTP.DebugRequest,write,false,false,0,1,Any,"HTTP.DebugRequest.IODebug,Array{UInt8,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/HTTP/4AvE2/src/IODebug.jl,34
WebIO,promote_instanceof,true,true,0,1,DOM,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,69
WebIO,tojs,true,true,0,1,WebIO.JSString,Asset,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/asset.jl,59
WebIO,kwargs2props,true,true,0,1,"Dict{Symbol,Any}","Dict{Any,Any}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,79
Mux,respond,true,true,0,1,"Mux.var""#23#24""{String}",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Mux/3h8RY/src/basics.jl,51
WebIO,showjs,true,false,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Dict",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/syntax.jl,193
WebSockets,maskswitch!,true,true,3,1,"Array{UInt8,1}","Array{UInt8,1},Array{UInt8,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebSockets/QcswW/src/WebSockets.jl,559
WebIO,dep2url,true,false,4,2,String,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/asset.jl,220
Blink.AtomShell,uninstall,true,true,0,1,"Union{Nothing, Bool}",,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Blink/mwJC9/src/AtomShell/install.jl,12
Mux,stack,true,true,0,1,"Mux.var""#3#4""{Mux.var""#3#4""{typeof(Mux.todict),typeof(Mux.basiccatch)},typeof(Mux.splitquery)}","Mux.var""#3#4""{typeof(Mux.todict),typeof(Mux.basiccatch)},typeof(Mux.splitquery)",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Mux/3h8RY/src/Mux.jl,14
FunctionalCollections,append,true,true,0,1,FunctionalCollections.PersistentVector{Any},"FunctionalCollections.PersistentVector{Any},Array{String,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/FunctionalCollections/1e7f3/src/PersistentVector.jl,61
WebIO,typename,true,true,0,1,String,DOM,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,72
Mux,reskey,true,true,0,1,"Mux.var""#21#22""{Mux.var""#25#26""{Symbol,Int64}}","Symbol,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/Mux/3h8RY/src/basics.jl,53
WebIO,props,true,false,0,1,"Dict{Symbol,Any}",Node,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,98
WebIO,#node#26,true,true,0,1,Node{DOM},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(node),DOM,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,53
WebIO,showjs,true,true,0,1,Nothing,"Base.GenericIOBuffer{Array{UInt8,1}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/syntax.jl,193
WebIO,#Node#25,true,true,0,1,Node{DOM},"Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},Type{Node},Symbol,Node{DOM}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,45
WebIO,children,true,false,0,1,FunctionalCollections.PersistentVector{Any},Node,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WebIO/depot/packages/WebIO/Fy9h1/src/node.jl,94
