modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
Word2Vec,analogy_words,true,true,0,1,"Array{String,1}","WordVectors{String,Float32,Int64},Array{String,1},Array{String,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,147
LinearAlgebra,size,true,true,0,1,"Tuple{Int64,Int64}","LinearAlgebra.Adjoint{Float32,Array{Float32,2}}",/build/source/usr/share/julia/stdlib/v1.5/LinearAlgebra/src/adjtrans.jl,184
Word2Vec,analogy,true,true,10,1,"Tuple{Array{Int64,1},Array{Float32,1}}","WordVectors{String,Float32,Int64},Array{String,1},Array{String,1},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,112
Word2Vec,similarity,true,true,0,1,Float32,"WordVectors{String,Float32,Int64},String,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,86
Word2Vec,size,true,true,0,1,"Tuple{Int64,Int64}","WordVectors{String,Float64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,47
Word2Vec,include,false,false,0,1,Any,String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/Word2Vec.jl,1
Word2Vec,_from_text,true,true,0,1,"WordVectors{String,Float32,Int64}","Type{Float32},String,Bool,Char,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,228
Word2Vec,#wordvectors#12,true,true,2,2,"WordVectors{String,Float32,Int64}","Symbol,Bool,Bool,Char,Bool,typeof(wordvectors),String,Type{Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,174
SuiteSparse.CHOLMOD,size,true,true,0,1,"Tuple{Int64,Int64}",SuiteSparse.CHOLMOD.Dense{Float64},/build/source/usr/share/julia/stdlib/v1.5/SuiteSparse/src/cholmod.jl,1153
Word2Vec,index,true,true,0,1,Int64,"WordClusters,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordclusters.jl,38
Word2Vec,_from_binary,true,true,0,1,"WordVectors{String,Float64,Int64}","Type{Float64},String,Bool,Bool,Char",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,202
Word2Vec,#word2vec#1,false,false,5,1,Any,"Int64,Int64,Float64,Int64,Int64,Int64,Int64,Int64,Float64,Int64,Int64,Int64,String,Nothing,Bool,typeof(word2vec),String,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/interface.jl,46
Word2Vec,cosine_similar_words,true,true,0,1,"Array{String,1}","WordVectors{String,Float32,Int64},String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,97
Word2Vec,index,true,true,0,1,Int64,"WordVectors{String,Float32,Int64},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,55
Word2Vec,#word2vec#1,false,false,5,1,Any,"Int64,Int64,Float64,Int64,Int64,Int64,Int64,Int64,Float64,Int64,Int64,Int64,Nothing,String,Bool,typeof(word2vec),String,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/interface.jl,46
Word2Vec,get_vector,true,true,0,1,"Array{Float32,1}","WordVectors{String,Float32,Int64},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,63
Word2Vec,vocabulary,true,true,0,1,"Array{String,1}","WordVectors{String,Float32,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,30
Word2Vec,wordvectors,true,true,0,1,"WordVectors{String,Float32,Int64}","String,Type{Float32}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,174
Word2Vec,cosine,true,true,0,1,"Tuple{Array{Int64,1},Array{Float32,1}}","WordVectors{String,Float32,Int64},String,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,73
Word2Vec,in_vocabulary,true,true,0,1,Bool,"WordVectors{String,Float32,Int64},String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,39
Word2Vec,_from_text,true,true,0,1,"WordVectors{String,Float64,Int64}","Type{Float64},String,Bool,Char,Bool",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,228
SuiteSparse.CHOLMOD,size,false,false,0,1,"Tuple{Any,Any}",SuiteSparse.CHOLMOD.Dense,/build/source/usr/share/julia/stdlib/v1.5/SuiteSparse/src/cholmod.jl,1153
SparseArrays,size,true,false,0,1,"Tuple{Int64,Int64}",SparseArrays.SparseMatrixCSC,/build/source/usr/share/julia/stdlib/v1.5/SparseArrays/src/sparsematrix.jl,74
Word2Vec,wordvectors,true,true,0,1,"WordVectors{String,Float64,Int64}",String,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,196
Word2Vec,get_words,true,true,0,1,"Array{String,1}","WordClusters,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordclusters.jl,60
Word2Vec,size,true,true,0,1,"Tuple{Int64,Int64}","WordVectors{String,Float32,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/Word2Vec/depot/packages/Word2Vec/CY3qd/src/wordvectors.jl,47
SharedArrays,size,true,true,0,1,"Tuple{Int64,Int64}","SharedArrays.SharedArray{Complex{Float64},2}",/build/source/usr/share/julia/stdlib/v1.5/SharedArrays/src/SharedArrays.jl,294
