modl,funcname,stable,grounded,gotos,returns,rettype,intypes,file,line
WordCloud,take!,true,true,2,1,"Array{Int64,1}","WordCloud.DoubleList{Int64},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/traintools.jl,38
WordCloud.QTree,listcollision_qtree,false,false,0,1,"Array{_A,1} where _A","AbstractArray{T,1} where T,WordCloud.QTree.AbstractStackedQtree,Set{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtreetools.jl,373
WordCloud,#loadmask#81,false,false,11,1,Any,"String,Float64,Symbol,Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}},typeof(loadmask),AbstractArray{T,2} where T",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/wc-helper.jl,56
WordCloud.QTree,setrshift!,false,false,0,1,Any,"WordCloud.QTree.PaddedMat{Array{UInt8,2}},Any",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtree.jl,97
WordCloud,getindsmap,false,false,1,1,Any,WordCloud.WC,/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/wc-class.jl,111
WordCloud.QTree,#listcollision#28,false,false,3,4,Any,"Base.Iterators.Pairs{Symbol,_A,Tuple{Symbol,Symbol},_B} where _B where _A,typeof(WordCloud.QTree.listcollision),Array{Any,1},WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}},Set{_A} where _A",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtreetools.jl,379
WordCloud.Render,#shape#15,true,true,0,1,Luxor.Drawing,"String,ColorTypes.ARGB{FixedPointNumbers.Normed{UInt8,8}},Tuple{Int64,Int64},typeof(shape),typeof(ellipse),Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/rendering.jl,235
WordCloud,getweights,false,false,0,1,Any,"WordCloud.WC,String",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/wc-class.jl,128
WordCloud,#wordcloud#58,true,false,11,1,WordCloud.WC,"Tuple,Any,typeof(generate!),Base.Iterators.Pairs{Symbol,Any,Tuple{Symbol,Symbol},NamedTuple{(:maskimg, :fillingrate),Tuple{Luxor.Drawing,Float64}}},typeof(wordcloud),Array{String,1},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/wc-class.jl,51
Luxor,ellipse,true,true,0,1,Bool,"Luxor.Point,Int64,Int64,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/Luxor/Y0kLH/src/curves.jl,106
WordCloud,take,true,true,0,1,"Array{Int64,1}","WordCloud.LRU{Int64,WordCloud.IntMap{Int64}},Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/traintools.jl,81
WordCloud.QTree,shift!,false,false,0,1,WordCloud.QTree.ShiftedQtree,"WordCloud.QTree.ShiftedQtree,Int64,Tuple{Integer,Integer}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtree.jl,209
WordCloud.QTree,listcollision_native,false,false,0,1,Any,"Array{Any,1},WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}},UnitRange{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtreetools.jl,121
WordCloud.QTree,overlap!,true,false,8,1,"WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}}","WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}},WordCloud.QTree.ShiftedQtree,Tuple{Int64,Int64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtreetools.jl,205
WordCloud,apply,false,false,0,1,Any,"Momentum,WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}},Array{Int64,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/train.jl,15
WordCloud,step_mask!,false,false,0,1,WordCloud.QTree.ShiftedQtree,"WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}},Any,Tuple{Int64,Int64,Int64},var""#4#7""",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/train.jl,105
WordCloud,whitesum,false,false,0,1,Any,"WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}},Int64,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/train.jl,50
WordCloud,feelingoccupied,false,false,0,1,Any,"Array{Any,1}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/strategy.jl,17
WordCloud.Render,#shape#15,true,true,0,1,Luxor.Drawing,"Float64,ColorTypes.ARGB{FixedPointNumbers.Normed{UInt8,8}},Tuple{Int64,Int64},typeof(shape),typeof(box),Int64,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/rendering.jl,235
WordCloud.QTree,setcshift!,true,false,0,1,Int64,"WordCloud.QTree.PaddedMat,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtree.jl,98
WordCloud.Render,#shape#15,true,false,0,1,Luxor.Drawing,"Float64,NTuple{4,Int64},Tuple{Int64,Int64},typeof(shape),Function,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/rendering.jl,235
WordCloud.Render,overlay!,true,true,2,1,"Array{ColorTypes.ARGB32,2}","Array{ColorTypes.ARGB32,2},Array{ColorTypes.ARGB32,2},Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/rendering.jl,188
WordCloud.QTree,setcenter!,true,true,0,1,"WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}}","WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}},Tuple{Int64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtree.jl,225
WordCloud,occupied,false,false,0,1,Any,"AbstractArray{T,2} where T,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/strategy.jl,2
WordCloud.QTree,locate!,false,false,0,1,WordCloud.QTree.QtreeNode,"Array{Any,1},Set{Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtreetools.jl,332
WordCloud.QTree,listcollision_native,false,false,0,1,Any,"Array{Any,1},WordCloud.QTree.ShiftedQtree{Array{WordCloud.QTree.PaddedMat{Array{UInt8,2}},1}}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/qtreetools.jl,121
WordCloud,near,false,false,0,1,SubArray,"AbstractArray{T,2} where T,Int64,Int64",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/train.jl,45
Luxor,box,true,true,0,1,Bool,"Luxor.Point,Int64,Int64,Int64,Symbol",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/Luxor/Y0kLH/src/shapes.jl,109
WordCloud,iter_expand,true,true,0,1,WordCloud.IterGen,"StepRange{Int64,Int64}",/data/artem/stability/repo/Stability/pkgs/fresh6-10pkgs-ver/WordCloud/depot/packages/WordCloud/YoP5f/src/strategy.jl,44
